관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
관악구청,서울특별시 관악구 난곡로51길 16,,다목적,4,200,반경 30~150미터 이내(기종따라 다름),30,15-Jan,02-879-5831,37.4781,126.9143,2019-10-31,3200000,서울특별시 관악구
서울특별시 중랑구청,서울특별시 중랑구 겸재로10길 5,서울특별시 중랑구 면목5동 172-30,생활방범,3,200,0,30,14-Aug,02-2094-0284,37.5838,127.0783,2020-05-06,3060000,서울특별시 중랑구
서울특별시 중랑구청,서울특별시 중랑구 동일로95길 62,서울특별시 중랑구 면목5동 194-59,생활방범,1,200,0,30,14-Aug,02-2094-0284,37.5845,127.0761,2020-05-06,3060000,서울특별시 중랑구
서울특별시 중랑구청,서울특별시 중랑구 동일로91길 6-18,서울특별시 중랑구 면목5동 172-103,생활방범,1,200,0,30,13-Feb,02-2094-0284,37.5837,127.0793,2020-05-06,3060000,서울특별시 중랑구
서울특별시 중랑구청,서울특별시 중랑구 동일로96가길 14,서울특별시 중랑구 면목5동 160-11,생활방범,1,200,0,30,14-Aug,02-2094-0284,37.5842,127.0813,2020-05-06,3060000,서울특별시 중랑구
관악구청,서울특별시 관악구 남부순환로141길 22,,다목적,4,200,반경 30~150미터 이내(기종따라 다름),30,15-Jan,02-879-5831,37.4821,126.9094,2019-10-31,3200000,서울특별시 관악구
서울특별시 중랑구청,서울특별시 중랑구 동일로95길 13,서울특별시 중랑구 면목5동 172-6,생활방범,4,200,0,30,13-Feb,02-2094-0284,37.5848,127.0789,2020-05-06,3060000,서울특별시 중랑구
서울특별시 중랑구청,서울특별시 중랑구 면목5동 160-23,서울특별시 중랑구 면목5동 160-23,생활방범,1,200,0,30,13-Feb,02-2094-0284,37.5835,127.0813,2020-05-06,3060000,서울특별시 중랑구
서울특별시 성동구청,서울특별시 성동구 동호로2나길 12-10,서울특별시 성동구 금호동4가 1226-2,생활방범,4,200,360도 전방면,30,17-Dec,02-2286-5879,37.5478,127.0179,2020-06-08,3030000,서울특별시 성동구
서울특별시 성동구청,서울특별시 성동구 장터길 6,서울특별시 성동구 금호동4가 1454-3,생활방범,4,200,360도 전방면,30,17-Dec,02-2286-5879,37.5483,127.0165,2020-06-08,3030000,서울특별시 성동구
서울특별시 성동구청,서울특별시 성동구 동호로 76-3,서울특별시 성동구 금호동4가 1299-16,생활방범,3,200,360도 전방면,30,17-Dec,02-2286-5879,37.5462,127.0163,2020-06-08,3030000,서울특별시 성동구
서울특별시 성동구청,서울특별시 성동구 장터길 2,서울특별시 성동구 금호동4가 1466,생활방범,3,200,360도 전방면,30,17-Dec,02-2286-5879,37.5482,127.016,2020-06-08,3030000,서울특별시 성동구
서울특별시 성동구청,서울특별시 성동구 장터3길 3,서울특별시 성동구 금호동3가 863,생활방범,2,200,360도 전방면,30,17-Dec,02-2286-5879,37.5486,127.02,2020-06-08,3030000,서울특별시 성동구
서울특별시 성동구청,서울특별시 성동구 독서당로 251,서울특별시 성동구 금호동4가 987,생활방범,3,200,360도 전방면,30,17-Dec,02-2286-5879,37.5461,127.0168,2020-06-08,3030000,서울특별시 성동구
서울특별시 성동구청,서울특별시 성동구 무수막12길 8-2,서울특별시 성동구 금호동2가 650,생활방범,2,200,정면 90도,30,17-Dec,02-2286-5879,37.5522,127.0215,2020-06-08,3030000,서울특별시 성동구
서울특별시 성북구청,서울특별시 성북구 삼양로 61-1,서울특별시 성북구 길음동 1222,생활방범,3,200,360,30,10-Dec,02-2241-4562,37.6086,127.023,2020-03-31,3070000,서울특별시 성북구
서울특별시 성북구청,,서울특별시 성북구 길음동 478-24,생활방범,3,130,360,30,11-Dec,02-2241-4562,37.6115,127.0294,2020-03-31,3070000,서울특별시 성북구
서울특별시 마포구청,서울특별시 마포구 월드컵북로31길 5,서울특별시 마포구 성산동 165-41,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5681,126.9069,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로16길 34,서울특별시 마포구 서교동 473-1,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5573,126.9113,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성산로6길 25,서울특별시 마포구 성산동 72-3,생활방범,2,200,360도전방면,30,07-Oct,02-3153-8432,37.5638,126.911,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성미산로13길53,서울특별시 마포구 성산동9-16,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5632,126.9166,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성암로3길 1,서울특별시 마포구 중동 308,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5694,126.9115,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 토정로5길 26,서울특별시 마포구 합정동 357-17,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5465,126.9186,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성지3길 19,서울특별시 마포구 합정동 371-24,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5468,126.9142,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로7길 89,서울특별시 마포구 합정동 434-14,생활방범,2,200,360도전방면,30,07-Oct,02-3153-8432,37.552,126.9075,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵로11길 61,서울특별시 마포구 망원동 384-1,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5539,126.9077,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 망원로3길 12,서울특별시 마포구 망원동 428-20,어린이보호,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5573,126.9016,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 연희로1길 43,서울특별시 마포구 연남동 382-2,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5609,126.9257,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 잔다리로 81,서울특별시 마포구 서교동 466-2,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5546,126.9158,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성미산로 161-15,서울특별시 마포구 연남동 240-1,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5653,126.9235,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 대흥로24길 23,서울특별시 마포구 염리동 10-81,생활방범,1,130,360도전방면,30,10-Mar,02-3153-8432,37.5546,126.9473,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 월드컵북로4길 72,서울특별시 마포구 동교동 198-1,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.559,126.9228,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 성미산로 190-31,서울특별시 마포구 연남동 385-8,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5624,126.9259,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로17길 23,서울특별시 마포구 서교동 408-1,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5501,126.9216,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 광성로6안길 13,서울특별시 마포구 신수동 89-54,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5488,126.9379,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 어울마당로2길 13,서울특별시 마포구 당인동 15-28,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5463,126.92,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로26길 9-24,서울특별시 마포구 창전동 6-123,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5529,126.9276,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신촌로12길 29,서울특별시 마포구 노고산동 56-44,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.555,126.9327,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구  숭문16길 16,서울특별시 마포구 염리동 9-7,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5558,126.9474,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 도화2안길 29,서울특별시 마포구 도화동 209-17,생활방범,1,200,360도전방면,30,07-Oct,02-3153-8432,37.5387,126.9489,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로50길 17,서울특별시 마포구 연남동 224-55,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5635,126.927,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로15길 22,서울특별시 마포구 서교동 409-6,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5496,126.9219,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 연남로5길 32,서울특별시 마포구 연남동 561-18,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5615,126.9205,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 동교로22길 30,서울특별시 마포구 서교동 463-4,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5545,126.9182,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 잔다리로3길 31,서울특별시 마포구 서교동 395-135,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5506,126.9182,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 연남로11길 21,서울특별시 마포구 연남동 364-19,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5655,126.9178,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 대흥로11길 29,서울특별시 마포구 신수동 62-15,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.546,126.9389,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 독막로15길 9,서울특별시 마포구 상수동 310-20,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5483,126.9221,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 신촌로24안길 1,서울특별시 마포구 노고산동 1-60,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5557,126.9415,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 와우산로3길 39,서울특별시 마포구 당인동 28-1,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5457,126.9208,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 마포대로11길 91,서울특별시 마포구 염리동 128-68,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5488,126.9493,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 큰우물로2길 11,서울특별시 마포구 용강동 310-1,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.543,126.9426,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 대흥로24길 7,서울특별시 마포구 대흥동 3-29,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5545,126.9465,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 고산14길 26,서울특별시 마포구 대흥동 18-141,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5535,126.9441,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 숭문16나길 57,서울특별시 마포구 염리동 8-141,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5542,126.9501,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구 만리재로10길 21,서울특별시 마포구 공덕동 106-31,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5485,126.9608,2019-06-25,3130000,서울특별시 마포구
서울특별시 마포구청,서울특별시 마포구  효창목길 30,서울특별시 마포구 공덕동 111-110,생활방범,1,200,360도전방면,30,08-Dec,02-3153-8432,37.5471,126.9607,2019-06-25,3130000,서울특별시 마포구
