사고번호,사고일시,요일,시군구,X,Y,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 1월 10일 14시,목요일,서울특별시 영등포구 대림동,126.900122,37.495435,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,9세,중상
2.02E+15,2019년 1월 22일 17시,화요일,서울특별시 성동구 금호동2가,127.021179,37.552888,중상사고,0,1,0,0,차대사람 - 기타,미분류,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,여,9세,중상
2.02E+15,2019년 1월 24일 17시,목요일,서울특별시 동작구 상도동,126.944078,37.498711,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,63세,상해없음,보행자,남,9세,중상
2.02E+15,2019년 1월 29일 15시,화요일,서울특별시 구로구 구로동,126.884681,37.494236,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,포장 - 건조,기타,단일로 - 기타,화물,남,34세,상해없음,보행자,남,5세,중상
2.02E+15,2019년 2월 1일 18시,금요일,서울특별시 용산구 원효로3가,126.945257,37.534727,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,63세,상해없음,보행자,여,6세,경상
2.02E+15,2019년 2월 2일 13시,토요일,서울특별시 광진구 구의동,127.092967,37.544415,중상사고,0,1,0,0,차대사람 - 횡단중,미분류,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,보행자,여,8세,중상
2.02E+15,2019년 2월 8일 17시,금요일,서울특별시 강북구 수유동,127.007369,37.638335,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,화물,남,49세,상해없음,보행자,여,10세,중상
2.02E+15,2019년 2월 12일 08시,화요일,서울특별시 강북구 미아동,127.023876,37.62111,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,45세,상해없음,보행자,여,10세,경상
2.02E+15,2019년 2월 13일 16시,수요일,서울특별시 강남구 개포동,127.062593,37.480284,부상신고사고,0,0,0,1,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,상해없음,보행자,여,10세,부상신고
2.02E+15,2019년 3월 7일 08시,목요일,서울특별시 노원구 중계동,127.079999,37.651015,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,보행자,여,7세,경상
2.02E+15,2019년 3월 7일 13시,목요일,서울특별시 노원구 상계동,127.07033,37.672997,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,자전거,여,71세,상해없음,보행자,여,7세,경상
2.02E+15,2019년 3월 8일 16시,금요일,서울특별시 양천구 신정동,126.855717,37.515197,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,여,4세,경상
2.02E+15,2019년 3월 17일 18시,일요일,서울특별시 관악구 봉천동,126.953483,37.47798,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,보행자,여,2세,중상
