사고번호,사고일시,요일,시군구,X,Y,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01E+15,2012년 1월 10일 15시,화요일,서울특별시 노원구 공릉동,127.091015,37.630503,중상사고,0,1,0,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,57세,상해없음,보행자,여,10세,중상
2.01E+15,2012년 1월 13일 18시,금요일,서울특별시 양천구 신정동,126.855717,37.515197,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,40세,상해없음,보행자,여,7세,부상신고
2.01E+15,2012년 1월 24일 17시,화요일,서울특별시 중랑구 중화동,127.078141,37.600507,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,남,9세,중상
2.01E+15,2012년 1월 27일 16시,금요일,서울특별시 양천구 신정동,126.855717,37.515197,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,75세,기타불명,보행자,여,6세,경상
2.01E+15,2012년 2월 3일 12시,금요일,서울특별시 강동구 명일동,127.150808,37.549062,중상사고,0,1,0,0,차대사람 - 차도통행중,미분류,포장 - 적설,눈,단일로 - 기타,승용,남,29세,상해없음,보행자,남,10세,중상
2.01E+15,2012년 2월 10일 13시,금요일,서울특별시 서초구 방배동,126.993113,37.479496,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,43세,상해없음,보행자,여,11세,중상
2.01E+15,2012년 2월 10일 17시,금요일,서울특별시 강서구 가양동,126.844678,37.566448,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,40세,상해없음,보행자,남,8세,중상
2.01E+15,2012년 2월 15일 10시,수요일,서울특별시 강동구 고덕동,127.157468,37.563661,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,보행자,남,9세,경상
2.01E+15,2012년 2월 17일 10시,금요일,서울특별시 종로구 혜화동,127.001756,37.587821,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,보행자,여,7세,중상
2.01E+15,2012년 2월 20일 13시,월요일,서울특별시 도봉구 창동,127.044061,37.647747,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,57세,상해없음,자전거,여,9세,경상
2.01E+15,2012년 2월 22일 17시,수요일,서울특별시 노원구 상계동,127.07033,37.672997,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,보행자,남,10세,사망
2.01E+15,2012년 3월 7일 14시,수요일,서울특별시 강남구 논현동,127.031713,37.51368,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,62세,상해없음,보행자,남,9세,경상
2.01E+15,2012년 3월 7일 14시,수요일,서울특별시 강동구 고덕동,127.157468,37.563661,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,35세,상해없음,보행자,남,8세,중상
2.01E+15,2012년 3월 8일 15시,목요일,서울특별시 서대문구 천연동,126.959447,37.567948,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,44세,상해없음,보행자,여,8세,중상
2.01E+15,2012년 3월 8일 16시,목요일,서울특별시 도봉구 쌍문동,127.027091,37.653366,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,화물,남,27세,상해없음,보행자,여,12세,경상
2.01E+15,2012년 3월 10일 21시,토요일,서울특별시 성북구 하월곡동,127.039357,37.604685,중상사고,0,2,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도부근,승합,남,58세,상해없음,승용,남,33세,중상
2.01E+15,2012년 3월 12일 08시,월요일,서울특별시 성북구 종암동,127.033905,37.59718,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,남,12세,부상신고,승용,남,47세,상해없음
2.01E+15,2012년 3월 14일 14시,수요일,서울특별시 중랑구 면목동,127.089212,37.582365,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,남,8세,경상
2.01E+15,2012년 3월 16일 15시,금요일,서울특별시 성북구 하월곡동,127.039357,37.604685,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 횡단보도부근,승용,남,42세,상해없음,보행자,남,8세,경상
2.01E+15,2012년 3월 20일 15시,화요일,서울특별시 성북구 동소문동7가,127.014189,37.596332,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,49세,상해없음,보행자,남,11세,중상
2.01E+15,2012년 3월 24일 14시,토요일,서울특별시 동작구 상도동,126.944078,37.498711,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 습기,비,단일로 - 횡단보도상,승용,여,37세,상해없음,보행자,남,9세,중상
2.01E+15,2012년 3월 31일 12시,토요일,서울특별시 종로구 필운동,126.968136,37.577305,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,보행자,남,8세,중상
2.01E+15,2012년 4월 2일 13시,월요일,서울특별시 마포구 신수동,126.936824,37.548527,부상신고사고,0,0,0,1,차대사람 - 기타,보행자보호의무위반,포장 - 습기,비,단일로 - 횡단보도상,화물,기타불명,기타불명,기타불명,보행자,남,7세,부상신고
2.01E+15,2012년 4월 3일 08시,화요일,서울특별시 동작구 신대방동,126.917182,37.492683,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 습기,비,단일로 - 횡단보도부근,승용,남,31세,상해없음,보행자,남,11세,경상
2.01E+15,2012년 4월 3일 17시,화요일,서울특별시 관악구 신림동,126.935806,37.463207,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,여,10세,중상
2.01E+15,2012년 4월 3일 18시,화요일,서울특별시 동대문구 장안동,127.070025,37.570213,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,자전거,남,12세,경상
2.01E+15,2012년 4월 7일 16시,토요일,서울특별시 성북구 정릉동,126.997772,37.615521,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,43세,상해없음,자전거,남,8세,경상
2.01E+15,2012년 4월 10일 14시,화요일,서울특별시 중랑구 면목동,127.089212,37.582365,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 습기,흐림,교차로 - 교차로부근,승합,여,39세,상해없음,보행자,여,11세,경상
2.01E+15,2012년 4월 12일 08시,목요일,서울특별시 성북구 돈암동,127.018315,37.59779,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,59세,상해없음,보행자,여,8세,중상
2.01E+15,2012년 4월 18일 16시,수요일,서울특별시 구로구 개봉동,126.851943,37.494229,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,8세,중상
