발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,20150101,야,목,1,1,0,0,0,서울,영등포구,차대차,기타,기타,안전운전 의무 불이행,단일로,지하차도(도로)내,중형,건설기계,949521.0,1946280.0,126.928799,37.51442589
2015,20150103,야,토,2,3,1,0,0,서울,서대문구,차대사람,기타,기타,과속,단일로,기타단일로,대형,보행자,952579.4,1951310.4,126.9630803,37.55992824
2015,20150104,야,일,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,951585.0,1942458.0,126.9524051,37.48008785
2015,20150105,야,월,1,1,0,0,0,서울,구로구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,없음,941717.0,1943013.0,126.84075590000002,37.48452015
2015,20150105,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107.0,1944339.0,126.84506259999999,37.49649604
2015,20150106,야,화,1,1,0,0,0,서울,용산구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,중형,보행자,953874.0,1950002.0,126.97782009999999,37.54820111
2015,20150106,주,화,1,5,3,1,0,서울,성북구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,터널안,대형,소형,955425.0,1956850.0,126.99496119999999,37.60999981
2015,20150106,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,947727.0,1944613.0,126.9086183,37.49930101
2015,20150107,야,수,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로부근,대형,보행자,954246.0,1943066.0,126.9824632,37.4857036
2015,20150109,야,금,1,1,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,중형,보행자,955475.0,1951772.0,126.9958365,37.56423328
2015,20150110,야,토,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,대형,보행자,964672.0,1946089.0,127.10024650000001,37.51340898
2015,20150110,야,토,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,과속,교차로,교차로부근,중형,보행자,945002.0,1945228.0,126.87774509999998,37.50468574
2015,20150110,야,토,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,958885.0,1949153.0,127.034594,37.54078605
2015,20150111,야,일,1,1,0,0,0,서울,성북구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,소형,960735.3,1957108.1,127.05511170000001,37.61256826
2015,20150113,주,화,1,1,0,0,0,서울,관악구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,대형,950797.0,1942793.0,126.94347040000001,37.48306565
2015,20150114,야,수,1,1,0,0,0,서울,강동구,차대차,측면충돌,측면충돌,차로위반(진로변경 위반),교차로,교차로부근,원동기장치자전거,중형,967180.0,1947241.0,127.12857369999999,37.52388511
2015,20150115,야,목,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근,중형,보행자,949255.0,1952045.0,126.9253906,37.56637211
2015,20150116,주,금,1,1,0,0,0,서울,영등포구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,횡단보도상,소형,소형,947827.0,1946786.0,126.90959540000001,37.51889229
2015,20150116,주,금,1,1,0,0,0,서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,948652.0,1947639.0,126.91887120000001,37.52662682
2015,20150116,야,금,1,1,0,0,0,서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,946912.8,1947723.7,126.89918279999999,37.52729174
2015,20150117,야,토,1,1,0,0,0,서울,서초구,차대사람,보도통행중,보도통행중,과속,단일로,기타단일로,대형,보행자,955683.0,1942390.0,126.99875759999999,37.47968066
2015,20150117,주,토,1,1,0,0,0,서울,구로구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,943638.0,1944333.0,126.8623821,37.49653671
