발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,20180214,주,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,950497,1954702,126.9392741,37.59038756
2018,20180902,야,일,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,953337,1950150,126.9717317,37.54950802
2018,20181215,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,956967,1954807,127.0125517,37.59165934
2018,20180823,주,목,1,1,0,0,0,서울,강북구,차량단독,기타,기타,기타(운전자법규위반),단일로,기타단일로,승합차,승합차,없음,없음,958020,1959193,127.0242273,37.63123983
2018,20180716,야,월,1,1,0,0,0,서울,강북구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,957606,1958258,127.0195897,37.62279351
2018,20181230,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957823,1957100,127.0221154,37.61236625
2018,20180129,주,월,1,1,0,0,0,서울,광진구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,화물차,화물차,보행자,보행자,963182,1948990,127.0832413,37.53949856
2018,20180511,야,금,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,951656,1949822,126.9527236,37.54646503
2018,20180424,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,947686,1946843,126.9079958,37.51939806
2018,20180204,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,946758,1944726,126.8976481,37.50026411
2018,20181129,야,목,1,1,0,0,0,서울,성동구,차대사람,기타,기타,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,959955,1950388,127.0466383,37.55196461
2018,20180617,주,일,1,1,0,0,0,서울,성동구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,자전거,자전거,958712,1949157,127.0326356,37.54081437
2018,20180104,주,목,1,1,0,0,0,서울,동작구,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,화물차,화물차,보행자,보행자,949202,1944843,126.9252888,37.50145641
2018,20180206,주,화,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,950276,1945198,126.9374151,37.50471459
2018,20180804,야,토,1,1,0,0,0,서울,중랑구,차대사람,보도통행중,보도통행중,신호위반,단일로,기타단일로,자전거,자전거,보행자,보행자,963551,1954643,127.087137,37.59046559
2018,20180809,주,목,1,1,0,0,0,서울,관악구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,948543,1941973,126.9180342,37.47555196
2018,20180317,주,토,1,4,3,0,0,서울,강남구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,특수차,특수차,960119,1947879,127.0486312,37.52935729
2018,20180719,야,목,1,1,0,0,0,서울,강남구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,958982,1947813,127.0357669,37.52871253
2018,20180918,야,화,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,944291,1950110,126.8693309,37.54864494
2018,20180119,주,금,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,965139,1946555,127.1055086,37.51762701
2018,20180415,야,일,1,4,0,3,0,서울,송파구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,965125,1947519,127.1053044,37.52631541
2018,20180822,야,수,1,1,0,0,0,서울,송파구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,966367,1945328,127.1194606,37.5066131
2018,20181218,야,화,1,1,0,0,0,서울,구로구,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,945726,1944557,126.8859857,37.49868078
2018,20180503,야,목,1,4,0,3,0,서울,서초구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,956481,1946430,127.007544,37.51613248
2018,20180517,야,목,1,1,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,945233,1949387,126.8800484,37.54218497
2018,20180619,야,화,1,1,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,959755,1963419,127.043657,37.66940705
2018,20180910,주,월,1,1,0,0,0,서울,은평구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,949895,1957444,126.9322677,37.6150688
