발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2012,2012-01-01 1:00,10,야간,수,1,1,0,0,0,경남,거창군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,화물차,대형,1032000,1731688,127.8531913,35.5807185
2012,2012-01-01 1:00,32,주간,금,1,1,0,0,0,경기,용인시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,특수차,경형,960392,1924378,127.0529365,37.31761455
2012,2012-01-01 2:00,55,야간,금,1,2,1,0,0,경북,김천시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,승용차,소형,1045245,1799427,128.0032241,36.19092077
2012,2012-01-01 2:00,10,주간,목,1,1,0,0,0,경기,이천시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,승용차,소형,992942,1915569,127.4204256,37.23895584
2012,2012-01-01 3:00,15,야간,월,1,1,0,0,0,전남,광양시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,화물차,대형,화물차,대형,1013547,1663287,127.6483932,34.9643711
2012,2012-01-01 3:00,4,주간,일,1,5,0,4,0,전남,광양시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,교량위,승합차,중형,0,0,1021668,1665087,127.7275002,34.98727926
2012,2012-01-01 4:00,17,야간,목,1,2,1,0,0,경기,하남시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,건설기계,건설기계,971512,1953274,127.1773642,37.57840723
2012,2012-01-01 4:00,44,주간,월,1,1,0,0,0,충남,논산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,0,0,967198,1791822,127.135484,36.1228595
2012,2012-01-01 4:00,43,야간,월,1,5,1,3,0,경남,밀양시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,부당한 회전,단일로,기타단일로,승용차,중형,승용차,중형,1115618,1717852,128.7739994,35.44975847
2012,2012-01-01 5:00,55,주간,목,1,1,0,0,0,전북,진안군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,대형,0,0,993204,1753236,127.4248084,35.77549842
2012,2012-01-01 8:00,15,주간,목,1,5,1,3,0,대구,북구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,소형,1093633,1766952,128.5374982,35.89470642
2012,2012-01-01 10:00,20,야간,일,1,1,0,0,0,대구,달성군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,특수차,대형,1088939,1756554,128.4843343,35.80140818
2012,2012-01-01 13:00,57,주간,월,2,2,0,0,0,전북,무주군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,대형,1014280,1774221,127.6583712,35.96462112
2012,2012-01-01 16:00,45,야간,화,1,1,0,0,0,경기,화성시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,특수차,대형,946961,1921288,126.9016264,37.28902129
2012,2012-01-01 18:00,50,야간,금,1,2,0,1,0,경기,광명시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,대형,942679,1937985,126.8520277,37.43926226
2012,2012-01-01 18:00,35,주간,일,1,1,0,0,0,경남,진주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,1070589,1695098,128.2759122,35.24882305
2012,2012-01-01 18:00,38,야간,화,1,1,0,0,0,경남,진주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,0,0,1070211,1693150,128.2715912,35.23128594
2012,2012-01-01 20:00,30,야간,토,1,1,0,0,0,경북,구미시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,특수차,중형,1068047,1808095,128.2575694,36.26772642
2012,2012-01-02 5:00,10,야간,목,1,3,0,2,0,경북,구미시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,화물차,중형,1067262,1809084,128.2489158,36.27669705
2012,2012-01-02 6:00,5,야간,일,1,6,5,0,0,전북,정읍시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,소형,946530,1737729,126.9094055,35.63407671
2012,2012-01-02 7:00,35,야간,일,1,1,0,0,0,경기,화성시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승용차,소형,보행자,보행자,938839,1912203,126.8107478,37.2066359
2012,2012-01-02 10:00,0,야간,일,1,2,1,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,911940,1860868,126.50446,36.75058052
2012,2012-01-02 13:00,25,야간,일,1,1,0,0,0,광주,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,중형,보행자,보행자,941250,1684499,126.8338956,35.15331167
2012,2012-01-02 15:00,10,주간,수,1,1,0,0,0,경남,김해시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,자전거,화물차,소형,1123688,1692551,128.8590769,35.22071431
2012,2012-01-02 18:00,14,야간,수,1,1,0,0,0,경기,안성시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,973488,1896727,127.2017638,37.06876219
2012,2012-01-02 18:00,45,주간,월,1,1,0,0,0,강원,춘천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,건설기계,건설기계,보행자,보행자,1016282,1976541,127.6849197,37.78841746
2012,2012-01-02 20:00,0,야간,금,1,1,0,0,0,대전,유성구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,984319,1811420,127.3253496,36.29997474
2012,2012-01-02 22:00,15,주간,목,1,1,0,0,0,충남,태안군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,화물차,소형,0,0,892164,1863087,126.2918498,36.75975324
2012,2012-01-03 2:00,10,야간,목,1,1,0,0,0,경기,포천시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,화물차,중형,보행자,보행자,975232,2001628,127.2178411,38.01433447
2012,2012-01-03 5:00,10,야간,금,1,1,0,0,0,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,931184,1949642,126.7210047,37.54354126
2012,2012-01-03 5:00,50,주간,화,1,1,0,0,0,서울,강서구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,0,0,940106,1949641,126.8219947,37.54415531
2012,2012-01-03 7:00,38,야간,목,1,1,0,0,0,전남,순천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1001954,1662091,127.5214013,34.95367494
2012,2012-01-03 9:00,1,야간,금,1,1,0,0,0,경기,양평군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,대형,992481,1946245,127.4149164,37.51546093
2012,2012-01-03 10:00,25,주간,화,1,1,0,0,0,인천,강화군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,원동기장치자전거,원동기장치자전거,909286,1961282,126.4715914,37.6468879
2012,2012-01-03 13:00,50,주간,수,1,1,0,0,0,인천,연수구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,승용차,중형,이륜차,소형,926539,1934337,126.6699554,37.40524246
2012,2012-01-03 14:00,9,주간,월,1,1,0,0,0,경기,양주시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,0,0,950008,1965290,126.9330789,37.68576419
2012,2012-01-03 16:00,55,야간,금,1,5,3,1,0,경남,진주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,승용차,중형,1070165,1693229,128.2710925,35.23200144
2012,2012-01-03 17:00,3,야간,수,1,1,0,0,0,경남,창원시(통합),차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,대형,1104305,1698312,128.6468703,35.27485481
2012,2012-01-03 17:00,15,주간,목,1,1,0,0,0,경남,함안군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,0,0,1081973,1699487,128.4014703,35.28752702
2012,2012-01-03 19:00,50,주간,일,1,1,0,0,0,충남,청양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,0,0,940016,1832833,126.830281,36.49126831
2012,2012-01-03 20:00,0,야간,일,1,1,0,0,0,경북,경산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,0,0,1114077,1762013,128.7629997,35.8473881
2012,2012-01-03 22:00,30,주간,일,1,3,1,1,0,강원,강릉시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,0,0,1118121,1964154,128.8393133,37.6692738
2012,2012-01-04 5:00,20,주간,월,1,1,0,0,0,부산,기장군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,특수차,대형,1155351,1696449,129.200668,35.25680531
2012,2012-01-04 9:00,5,주간,일,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1051446,1688702,128.064092,35.19213393
2012,2012-01-04 10:00,27,야간,토,1,1,0,0,0,경기,광주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,0,0,982027,1930644,127.2970015,37.37469384
2012,2012-01-04 11:00,15,주간,목,1,1,0,0,0,충남,천안시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,965501,1865001,127.2966662,36.75811427
2012,2012-01-04 16:00,40,주간,금,1,2,0,1,0,전북,남원시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,화물차,대형,989827,1714499,127.3879329,35.42619606
2012,2012-01-04 19:00,20,야간,금,2,2,0,0,0,인천,남동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,929833,1941010,126.7065366,37.46564096
2012,2012-01-04 19:00,13,야간,목,1,1,0,0,0,인천,남동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,929187,1939037,126.707045,37.44962738
2012,2012-01-04 20:00,5,야간,화,1,2,0,1,0,부산,강서구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,특수차,대형,1131579,1692837,128.9458047,35.22228805
2012,2012-01-05 1:00,30,야간,금,1,2,1,0,0,충북,괴산군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,중형,1044467,1860747,127.9980953,36.74375044
2012,2012-01-05 1:00,0,야간,수,1,1,0,0,0,충북,제천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,0,0,1056666,1904811,128.1380384,37.14029124
2012,2012-01-05 7:00,29,주간,목,1,1,0,0,0,경북,구미시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,대형,보행자,보행자,1073845,1793521,128.3207402,36.13591977
2012,2012-01-05 10:00,5,주간,화,1,3,2,0,0,경기,안산시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,화물차,소형,943286,1927815,126.8595432,37.34785943
2012,2012-01-05 10:00,0,야간,목,1,3,2,0,0,전북,완주군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,978227,1756354,127.2584188,35.80368043
2012,2012-01-05 12:00,10,주간,월,1,3,1,1,0,전북,완주군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,중형,0,0,958406,1760003,127.0394541,35.83565237
2012,2012-01-05 12:00,10,주간,토,1,4,3,0,0,충북,음성군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,승용차,소형,1000200,1885400,127.5022468,36.96703096
2012,2012-01-05 14:00,16,야간,화,1,1,0,0,0,경기,용인시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,중형,이륜차,소형,972715,1918067,127.1926612,37.25844164
