발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015-01-01 5:57,야,목,1,1,0,0,0,서울,영등포구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,중형,건설기계,건설기계,949521,1946280,126.928799,37.51442589
2015,2015-01-01 5:30,야,목,1,1,0,0,0,울산,남구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,1159202,1728395,129.2561467,35.53875501
2015,2015-01-01 14:30,주,목,1,1,0,0,0,전북,군산시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,없음,없음,934705,1776858,126.7756585,35.98631414
2015,2015-01-01 21:00,야,목,1,1,0,0,0,광주,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,소형,보행자,보행자,948213,1684783,126.9313967,35.15696445
2015,2015-01-02 6:50,주,금,1,1,0,0,0,부산,영도구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1142714,1678614,129.0656593,35.09256151
2015,2015-01-02 6:34,주,금,1,1,0,0,0,울산,남구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,1168168,1720763,129.3534236,35.46849521
2015,2015-01-02 11:50,주,금,1,4,1,1,1,경북,칠곡군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,승용차,중형,1080026,1779167,128.3879752,36.00603163
2015,2015-01-02 17:50,주,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,과속,교차로,교차로내,승합차,중형,보행자,보행자,954929,1922294,126.9914549,37.29850929
2015,2015-01-02 17:40,주,금,1,7,0,6,0,경기,평택시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,소형,948003,1882268,126.9160884,36.93736221
2015,2015-01-02 20:05,야,금,1,1,0,0,0,경기,고양시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,942693,1961185,126.850374,37.6483652
2015,2015-01-02 21:54,야,금,1,1,0,0,0,경기,용인시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,980827,1914922,127.283854,37.23295323
2015,2015-01-02 21:25,야,금,1,1,0,0,0,충북,청주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,1002539,1840711,127.5283746,36.56416583
2015,2015-01-03 0:58,야,토,2,3,1,0,0,서울,서대문구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,952579.4,1951310.4,126.9630803,37.55992824
2015,2015-01-03 4:50,야,토,1,5,3,1,0,강원,강릉시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,화물차,대형,1122912,1973644,128.8952722,37.75419123
2015,2015-01-03 5:00,야,토,1,1,0,0,0,충북,증평군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1005624,1865351,127.563032,36.78628022
2015,2015-01-03 6:43,주,토,2,2,0,0,0,인천,부평구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,횡단보도상,승용차,중형,보행자,보행자,928772,1941617,126.694481,37.47103057
2015,2015-01-03 7:10,주,토,1,3,1,1,0,경남,남해군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,없음,없음,1033939,1660770,127.8716609,34.94119617
2015,2015-01-03 7:25,주,토,1,1,0,0,0,대구,북구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,자전거,자전거,1092493.4,1758436.5,128.523885,35.81805003
2015,2015-01-03 8:10,주,토,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,1059589,1687268,128.1544414,35.17893841
2015,2015-01-03 11:50,주,토,1,1,0,0,0,전남,광양시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,없음,없음,1014990,1673854,127.6643903,35.05963748
2015,2015-01-03 12:50,주,토,1,1,0,0,0,전남,무안군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,901509,1653715,126.4223459,34.8733697
2015,2015-01-03 15:21,주,토,1,1,0,0,0,경기,성남시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승합차,대형,없음,없음,969891,1937684,127.1596447,37.43783524
2015,2015-01-03 16:50,주,토,1,2,0,1,0,경기,성남시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,968953,1929945,127.1493668,37.36804763
2015,2015-01-03 17:25,주,토,1,2,0,1,0,전남,장흥군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,승용차,중형,949356,1616350,126.9480816,34.53994564
2015,2015-01-03 18:20,야,토,1,1,0,0,0,충남,공주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,978471,1819501,127.2599934,36.37271496
2015,2015-01-03 18:55,야,토,1,1,0,0,0,전북,정읍시,차대사람,보도통행중,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,보행자,보행자,937878,1739747,126.8137411,35.65194485
2015,2015-01-04 0:03,야,일,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,951585,1942458,126.9524051,37.48008785
2015,2015-01-04 0:05,야,일,1,1,0,0,0,전남,신안군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,872776,1678344,126.1042694,35.09220263
2015,2015-01-04 3:32,야,일,1,1,0,0,0,인천,계양구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,931279,1949630,126.7220812,37.54344019
2015,2015-01-04 5:15,야,일,1,1,0,0,0,경북,칠곡군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,없음,없음,1081842.8,1784218.4,128.4086552,36.05141789
2015,2015-01-04 6:20,주,일,1,1,0,0,0,충남,천안시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,966841,1864692,127.1283964,36.77977579
2015,2015-01-04 7:10,주,일,1,1,0,0,0,경기,광주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,건설기계,건설기계,981031,1932301,127.2857097,37.38960983
2015,2015-01-04 12:58,주,일,1,2,1,0,0,세종,세종,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,승용차,중형,981784,1843164,127.2963693,36.58610925
2015,2015-01-04 13:40,주,일,1,1,0,0,0,충북,충주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,자전거,자전거,1036910.7,1885755.8,127.914672,36.96951422
2015,2015-01-04 13:20,주,일,1,1,0,0,0,전남,영암군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,924567,1646039,126.6753024,34.80613152
2015,2015-01-04 15:17,주,일,1,1,0,0,0,경기,성남시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승합차,소형,보행자,보행자,970419,1937818,127.1656078,37.4390601
2015,2015-01-04 18:55,야,일,1,3,2,0,0,충남,서산시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,승용차,소형,912883,1852734,126.5251226,36.66856645
