관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,과속방지턱관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,보차분리여부,연속형여부,과속방지턱설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
부산광역시 서구청,부산광역시 서구 아미초장로 54-3 (초장동 42-16),부산광역시 서구 초장동 42-16,다목적,1,200,360도 전방면,30,16-Jun,051-240-4125,35.09693856,129.0191644,2020-03-18,3260000,부산광역시 서구,163,2,서구,서구 아미초장로,부산광역시 서구 아미초장로54-3,,54-3 앞,2,1,10,360,600,2,Y,Y,Y,,부산광역시 서구청,051-240-4713,2019-12-17,3260000,부산광역시 서구
서울특별시 금천구,서울특별시 금천구 시흥대로 12길 72,서울특별시 금천구 시흥동 655-5,다목적,3,200,270도전방면,30,13-Feb,02-2627-1903,37.4651,126.9072,2020-02-20,3170000,서울특별시 금천구,274,1,금천구,독산로54길,서울특별시 금천구 독산로54길 57,,도로,1,1,10,360,600,1,Y,N,N,2010,금천구청 도로과,02-2627-1814,2020-02-20,3170000,서울특별시 금천구
서울특별시 중랑구청,서울특별시 중랑구 용마산로125길 50,서울특별시 중랑구 신내1동 437,생활방범,4,200,0,30,13-Sep,02-2094-0284,37.6038,127.1006,2020-05-06,3060000,서울특별시 중랑구,451,1,중랑구,용마산로,서울특별시 중랑구 용마산로 125나길 22,서울특별시 중랑구 신내동 444,지하차도 토공부 신내초 앞,1,1,10,360,300,1,Y,Y,Y,,서울특별시 성동도로사업소,02-2210-1538,2019-06-19,6110000,서울특별시
서울특별시 강동구청,서울특별시 강동구 천호대로 221길 37 (상일동),서울특별시 강동구 상일동 286,생활방범,3,200,360도전방면,30,18-Jan,02-3425-7090,37.5485,127.1726,2020-05-20,3240000,서울특별시 강동구,82000009,1,강동구,천호대로 221길,서울특별시 강동구 천호대로 221길 37,서울특별시 강동구 상일동 286,서울특별시 강동구 천호대로 221길 37,1,1,10,360,380,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천호대로 221길 37 (상일동),서울특별시 강동구 상일동 286,생활방범,3,200,360도전방면,30,18-Jan,02-3425-7090,37.5485,127.1726,2020-05-20,3240000,서울특별시 강동구,82000087,1,강동구,천호대로221길,서울특별시 강동구 천호대로221길 37,서울특별시 강동구 상일동 286,서울특별시 강동구 천호대로221길 37,1,3,0,360,250,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천호대로 221길 37 (상일동),서울특별시 강동구 상일동 286,생활방범,3,200,360도전방면,30,18-Jan,02-3425-7090,37.5485,127.1726,2020-05-20,3240000,서울특별시 강동구,82000880,1,강동구,천호대로 221길,서울특별시 강동구 천호대로 221길 37,서울특별시 강동구 상일동 286,서울특별시 강동구 천호대로 221길 37,1,1,10,360,380,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천호대로174길 43 (성내동),서울특별시 강동구 성내동 381-13,생활방범,1,200,360도전방면,30,05-Feb,02-3425-7090,37.5329,127.1342,2020-05-20,3240000,서울특별시 강동구,82000263,1,강동구,천호대로174길,서울특별시 강동구 천호대로174길 43,서울특별시 강동구 성내동 381-13,서울특별시 강동구 천호대로174길 43,1,1,10,380,310,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천중로55길 19(길동),서울특별시 강동구 길동 87-3,생활방범,3,200,360도전방면,30,15-Dec,02-3425-7090,37.5416,127.1466,2020-05-20,3240000,서울특별시 강동구,82000847,1,강동구,천중로55길,서울특별시 강동구 천중로55길 20 (길동),서울특별시 강동구,서울특별시 강동구 천중로55길 20 (길동),1,1,10,360,240,2,Y,N,N,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천중로35길 30 (천호동),서울특별시 강동구 천호동 53-19,어린이보호,1,130,360도전방면,30,11-Aug,02-3425-7090,37.5424,127.1378,2020-05-20,3240000,서울특별시 강동구,82001255,1,강동구,천중로35길,서울특별시 강동구 천중로35길 30,서울특별시 강동구 천호동 53-19,서울특별시 강동구 천중로35길 30,1,1,10,360,330,2,Y,N,Y,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
서울특별시 강동구청,서울특별시 강동구 천중로39길 14 (천호동),서울특별시 강동구 천호동 52-30,생활방범,3,130,360도전방면,30,12-Nov,02-3425-7090,37.5417,127.1393,2020-05-20,3240000,서울특별시 강동구,82001282,1,강동구,천중로39길,서울특별시 강동구 천중로39길 14,서울특별시 강동구 천호동 52-30,서울특별시 강동구 천중로39길 14,1,1,10,360,364,2,Y,N,Y,2009,서울특별시 강동구청,02-3425-6352,2019-12-09,3240000,서울특별시 강동구
