발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
"2013","20130107",주간,월,"1","1","0","0","0",서울,영등포구,차대사람,횡단중,횡단중,신호위반,단일로,횡단보도부근,대형,보행자,"947421","1948279",126.904894299999995,37.532325860000000,유치원,영중유치원,서울특별시 영등포구 영중로 163,서울특별시 영등포구 영등포동8가 84,37.531074330000003,126.905232299999994,영등포구청,영등포경찰서,Y,"1",5~26,2020/06/30,"3180000",서울특별시 영등포구,"0","95"
"2013","20130112",야간,토,"1","2","1","0","0",서울,동대문구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,소형,"0","959240","1954133",127.038335500000002,37.585687940000000,초등학교,홍파초교,서울특별시 동대문구 고산자로 518,서울특별시 동대문구 제기동 678,37.586203509999997,127.039587400000002,서울특별시 동대문구청,동대문경찰서,Y,"3",,2019/11/25,"3050000",서울특별시 동대문구,"0","98"
"2013","20130112",야간,토,"1","2","1","0","0",서울,동대문구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,소형,"0","959240","1954133",127.038335500000002,37.585687940000000,유치원,홍파초교병설유치원,서울특별시 동대문구 고산자로 518,서울특별시 동대문구 제기동 678,37.586203509999997,127.039587400000002,서울특별시 동대문구청,동대문경찰서,Y,"0",,2019/11/25,"3050000",서울특별시 동대문구,"0","98"
"2013","20130113",주간,일,"1","1","0","0","0",서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,소형,보행자,"957507","1952830",127.018783000000013,37.573865310000002,어린이집,한빛어린이집,서울특별시 종로구 종로65길 10,서울특별시 종로구 숭인2동 178-167,37.574807000000000,127.019976000000000,종로구청,혜화경찰서,Y,"2",4~8,2019/01/14,"3000000",서울특별시 종로구,"0","12"
"2013","20130116",주간,수,"1","1","0","0","0",서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,"952461","1952512",126.962439200000006,37.570200669999998,초등학교,금화초등학교,서울특별시 서대문구 통일로 165,서울특별시 서대문구 천연동 13-1,37.568806000000002,126.963085000000007,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,"2",6~12,2019/03/04,"3120000",서울특별시 서대문구,2016-10-07,"96"
"2013","20130116",주간,수,"1","1","0","0","0",서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,"952461","1952512",126.962439200000006,37.570200669999998,어린이집,독립문어린이집,서울특별시 서대문구 독립문로10,서울특별시 서대문구 영천동 100,37.570385000000002,126.959665999999999,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,"1",12~13,2019/03/04,"3120000",서울특별시 서대문구,"0","6"
"2013","20130116",주간,수,"1","1","0","0","0",서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,"952461","1952512",126.962439200000006,37.570200669999998,유치원,금화초교(병설)유치원,서울특별시 서대문구 통일로 165,서울특별시 서대문구 천연동 13-1,37.568806000000002,126.963085000000007,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,"1",6~12,2019/03/04,"3120000",서울특별시 서대문구,"0","96"
"2013","20130119",야간,토,"1","1","0","0","0",서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,"957807","1955834",127.022043999999994,37.600862120000002,유치원,희망찬유치원,서울특별시 성북구 동소문로34길 24,서울특별시 성북구 돈암동 15-3,37.598991130000002,127.023141600000002,서울특별시 성북구청,서울특별시 성북경찰서,Y,"1","10",2020/02/28,"3070000",서울특별시 성북구,"0","0"
"2013","20130119",야간,토,"1","1","0","0","0",서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,"957807","1955834",127.022043999999994,37.600862120000002,어린이집,웅지어린이집,서울특별시 성북구 길음로9길 113,서울특별시 성북구 길음동 877-255,37.602201399999998,127.021217100000001,서울특별시 성북구청,서울특별시 성북경찰서,Y,"1",,2020/02/28,"3070000",서울특별시 성북구,"0","10"
"2013","20130119",야간,토,"1","1","0","0","0",서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,"957807","1955834",127.022043999999994,37.600862120000002,어린이집,길음성가어린이집,서울특별시 성북구 길음로9길 50,서울특별시 성북구 길음동 1286,37.602696410000000,127.020950299999996,서울특별시 성북구청,서울특별시 성북경찰서,Y,"1","10",2020/02/28,"3070000",서울특별시 성북구,"0","12"
