발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),옐로카펫_설치유무
2017,20170101,야간,일,1,1,0,0,0,서울,금천구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,946778,1941695,126.8980936,37.47294629,초등학교,문성초등학교,서울특별시 금천구 시흥대로 460,서울특별시 금천구 독산동 982,37.47491168,126.899464,서울특별시 금천구청,금천경찰서,Y,1.0,4~10,2020/02/20,3170000,서울특별시 금천구,0,96,2.7,-1.6,6.9,,0
2017,20170102,야간,월,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,948413,1957900,126.915444,37.61909675,유치원,성균관(갈현초교 중복),서울특별시 은평구 연서로27길 23,서울특별시 은평구 연서로27길 23,37.6183134,126.9169211,서울특별시 은평구,은평경찰서,Y,1.0,4,2019/07/31,3110000,서울특별시 은평구,0,95,5.0,1.8,9.2,0.3,0
2017,20170102,야간,월,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,948413,1957900,126.915444,37.61909675,초등학교,갈현초등,서울특별시 은평구 연서로29길 31,서울특별시 은평구 연서로29길 31,37.6192867,126.9166431,서울특별시 은평구,은평경찰서,Y,5.0,4,2019/07/31,3110000,서울특별시 은평구,0,95,5.0,1.8,9.2,0.3,0
2017,20170102,야간,월,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,948413,1957900,126.915444,37.61909675,초등학교,선일초등,서울특별시 은평구 갈현로29길 27,서울특별시 은평구 갈현로29길 27,37.619722,126.9126173,서울특별시 은평구,은평경찰서,Y,7.0,7.5,2019/07/31,3110000,서울특별시 은평구,20170622,95,5.0,1.8,9.2,0.3,0
2017,20170102,주간,월,1,1,0,0,0,서울,영등포구,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,946757,1943309,126.8977393,37.48749238,유치원,영서초병설유치원,서울특별시 구로구 도림로20길 57,,37.48896046,126.8955839,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,96,5.0,1.8,9.2,0.3,0
2017,20170102,주간,월,1,1,0,0,0,서울,영등포구,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,946757,1943309,126.8977393,37.48749238,초등학교,영서초등학교,서울특별시 구로구 도림로20길 57,,37.48896046,126.8955839,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,96,5.0,1.8,9.2,0.3,0
2017,20170102,주간,월,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,964223,1950661,127.09494309999998,37.55460089,유치원,경원유치원,서울특별시 광진구 영화사로 89,서울특별시 광진구 구의2동 16-10,37.554876,127.093909,서울특별시청,광진경찰서,Y,1.0,,2019/02/20,3040000,서울특별시 광진구,0,10,5.0,1.8,9.2,0.3,0
2017,20170102,주간,월,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,964223,1950661,127.09494309999998,37.55460089,유치원,영화유치원,서울특별시 광진구 영화사로 105,서울특별시 광진구 구의2동 18,37.554126,127.095297,서울특별시청,광진경찰서,Y,1.0,,2019/02/20,3040000,서울특별시 광진구,0,10,5.0,1.8,9.2,0.3,0
2017,20170103,야간,화,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,951809,1942583,126.9549303,37.48122622,초등학교,원당초등학교,서울특별시 관악구 봉천로 505,,37.48127866,126.9562498,서울특별시 관악구청,서울관악경찰서,Y,4.0,6~25,2020/05/31,3200000,서울특별시 관악구,0,95,2.0,-2.3,7.7,,0
2017,20170103,야간,화,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,951809,1942583,126.9549303,37.48122622,유치원,동원유치원,서울특별시 관악구 행운1길 96,,37.48282858,126.9567328,서울특별시 관악구청,서울관악경찰서,Y,1.0,8,2020/05/31,3200000,서울특별시 관악구,0,97,2.0,-2.3,7.7,,0
