발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형,법규위반_,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
2018,20181215,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,956967,1954807,127.0125517,37.59165934,초등학교,돈암초등학교,서울특별시 성북구 동소문로13길 38,서울특별시 성북구 동소문동6가 27-1,37.5937453,127.0131031,서울특별시 성북구청,서울특별시 성북경찰서,Y,1,,2020-02-28,3070000,서울특별시 성북구,0,95
2018,20181215,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,956967,1954807,127.0125517,37.59165934,유치원,돈암병설유치원,서울특별시 성북구 동소문로13길 38,서울특별시 성북구 동소문동6가 27-1,37.5937453,127.0131031,서울특별시 성북구청,서울특별시 성북경찰서,Y,1,,2020-02-28,3070000,서울특별시 성북구,0,95
2018,20180823,주,목,1,1,0,0,0,서울,강북구,차량단독,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승합차,없음,958020,1959193,127.0242273,37.63123983,유치원,운산유치원,서울특별시 강북구 수유로4길 58,서울특별시 강북구 수유동 52-21,37.63207,127.02172,강북구청,강북경찰서,Y,2,7,2019-05-10,3080000,서울특별시 강북구,0,98
2018,20180716,야,월,1,1,0,0,0,서울,강북구,차대사람,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,957606,1958258,127.0195897,37.62279351,어린이집,솔바람어린이집,서울특별시 강북구 삼양로41길 60,서울특별시 강북구 미아동 791-2119,37.6217,127.01686,강북구청,강북경찰서,Y,2,7,2019-05-10,3080000,서울특별시 강북구,0,10
2018,20181230,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,957823,1957100,127.0221154,37.61236625,초등학교,미아초등학교,서울특별시 성북구 삼양로 77,서울특별시 성북구 길음동 1168,37.6105142,127.0216457,서울특별시 성북구청,서울특별시 성북경찰서,Y,1,,2020-02-28,3070000,서울특별시 성북구,2018-04-07,96
2018,20181230,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,957823,1957100,127.0221154,37.61236625,유치원,명덕유치원,서울특별시 성북구 삼양로 74,,37.60986433,127.0229093,서울특별시 성북구청,서울특별시 종암경찰서,Y,1,7,2020-02-28,3070000,서울특별시 성북구,0,97
2018,20180129,주,월,1,1,0,0,0,서울,광진구,차대사람,횡단중,운전자법규위반,신호위반,단일로,기타단일로,화물차,보행자,963182,1948990,127.0832413,37.53949856,어린이집,구의3동어린이집,서울특별시 광진구 광나루로54길 36 (구의동),서울특별시 광진구 구의3동 199-21,37.539328,127.086356,서울특별시청,광진경찰서,Y,2,,2019-02-20,3040000,서울특별시 광진구,0,10
2018,20180204,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,보행자,946758,1944726,126.8976481,37.50026411,유치원,도신초등학교병설유치원,서울특별시 영등포구 도림로53길 32-9,서울특별시 영등포구 대림3동 741-3,37.49926879,126.9007128,영등포구청,영등포경찰서,Y,1,6~7,2020-06-30,3180000,서울특별시 영등포구,0,95
2018,20180204,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,보행자,946758,1944726,126.8976481,37.50026411,초등학교,신영초등학교,서울특별시 영등포구 도신로4길 32,서울특별시 영등포구 대림3동 781,37.50100557,126.8960964,영등포구청,영등포경찰서,Y,6,6.5~8.5,2020-06-30,3180000,서울특별시 영등포구,0,95
2018,20180204,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,보행자,946758,1944726,126.8976481,37.50026411,초등학교,도신초등학교,서울특별시 영등포구 도림로53길 32-9,서울특별시 영등포구 대림3동 741-3,37.49926879,126.9007128,영등포구청,영등포경찰서,Y,3,6~7,2020-06-30,3180000,서울특별시 영등포구,0,95
