발생년,발생년월일,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,가해자법규,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
"2019","2019010210",주,수,"1","0","0","0","0",서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,955430.000000000000000,1952240.000000000000000,126.995298500000004,37.568449289999997,,,,,,,,,,,,,,,,
"2019","2019010312",주,목,"1","1","0","1","0",서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962122.000000000000000,1962574.000000000000000,127.070539800000006,37.661891709999999,초등학교,계상초교,서울특별시 노원구 한글비석로41가길 24,서울특별시 노원구 상계5동 447-1,37.662197409999997,127.068676600000003,노원구청,노원경찰서,Y,"2",8~19,2020/07/14,"3100000",서울특별시 노원구,"0","2"
"2019","2019010317",주,목,"1","0","0","0","0",서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,954851.000000000000000,1951572.000000000000000,126.988783400000003,37.562400250000003,,,,,,,,,,,,,,,,
"2019","2019010804",야,화,"1","0","0","0","0",서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,944117.000000000000000,1950716.000000000000000,126.867315000000005,37.554096299999998,초등학교,염창초등학교,서울특별시 강서구 양천로 646-28 (염창동),,37.553224329999999,126.867600199999998,서울특별시 강서구청,강서경찰서,Y,"2","8",2020/01/01,"3150000",서울특별시 강서구,"0","97"
"2019","2019011417",주,월,"1","0","0","0","0",서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,945828.000000000000000,1943562.000000000000000,126.887212800000000,37.489718670000002,유치원,도현유치원,서울특별시 구로구 구로동로28길 55,,37.490941999999997,126.887203000000000,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","98"
"2019","2019011604",야,수,"1","0","0","0","0",서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.000000000000000,1949576.000000000000000,127.024405099999996,37.544558170000002,유치원,옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.545529930000001,127.021871200000007,서울특별시 성동구,성동경찰서,Y,"1",4~13,2020/06/17,"3030000",서울특별시 성동구,"0","97"
"2019","2019011604",야,수,"1","0","0","0","0",서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.000000000000000,1949576.000000000000000,127.024405099999996,37.544558170000002,초등학교,옥수초등학교,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.545529930000001,127.021871200000007,서울특별시 성동구,성동경찰서,Y,"3",6~6,2020/06/17,"3030000",서울특별시 성동구,2017-12-12,"97"
"2019","2019011622",야,수,"1","0","0","0","0",서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961407.000000000000000,1945530.000000000000000,127.063331700000006,37.508239680000003,,,,,,,,,,,,,,,,
"2019","2019011705",야,목,"1","0","0","0","0",서울,강동구,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,969058.000000000000000,1948101.000000000000000,127.149790499999995,37.531701599999998,,,,,,,,,,,,,,,,
"2019","2019011711",주,목,"1","4","2","2","0",서울,동작구,차대차,추돌,추돌,과속,교차로,교차로내,승용차,승용차,953853.000000000000000,1942637.000000000000000,126.978044900000000,37.481817329999998,,,,,,,,,,,,,,,,
"2019","2019011800",야,금,"1","0","0","0","0",서울,구로구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085.000000000000000,1943620.000000000000000,126.856181599999999,37.490076430000002,유치원,개봉초병설유치원,서울특별시 구로구 개봉로16길 30-11,,37.489523110000000,126.857974799999994,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","95"
"2019","2019011800",야,금,"1","0","0","0","0",서울,구로구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085.000000000000000,1943620.000000000000000,126.856181599999999,37.490076430000002,초등학교,개봉초등학교,서울특별시 구로구 개봉로16길 30-11,,37.489523110000000,126.857974799999994,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","95"
"2019","2019011800",야,금,"1","0","0","0","0",서울,구로구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085.000000000000000,1943620.000000000000000,126.856181599999999,37.490076430000002,유치원,미림유치원,서울특별시 구로구 개봉로18길 37,,37.490828000000000,126.857951000000000,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","9"
"2019","2019011810",주,금,"1","2","0","2","0",서울,도봉구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,958964.000000000000000,1959934.000000000000000,127.034884000000005,37.637961230000002,초등학교,서울수송초등학교,서울특별시 강북구 한천로 124길 14,서울특별시 강북구 번동 456,37.637320000000003,127.033205199999998,강북구청,강북경찰서,Y,"9","25",2019/05/10,"3080000",서울특별시 강북구,"0","1"
"2019","2019011907",주,토,"1","0","0","0","0",서울,구로구,차대차,기타,기타,안전거리 미확보,단일로,기타단일로,이륜차,승용차,946338.000000000000000,1944412.000000000000000,126.892919599999999,37.497409650000002,어린이집,해태어린이집,서울특별시 영등포구 가마산로 316,서울특별시 영등포구 대림3동 777,37.498049150000000,126.894845000000004,영등포구청,영등포경찰서,Y,"1",6.5~8.5,2020/06/30,"3180000",서울특별시 영등포구,"0","7"
"2019","2019012100",야,월,"1","0","0","0","0",서울,구로구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,943093.000000000000000,1943401.000000000000000,126.856289000000004,37.488103049999999,유치원,개봉초병설유치원,서울특별시 구로구 개봉로16길 30-11,,37.489523110000000,126.857974799999994,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","95"
"2019","2019012100",야,월,"1","0","0","0","0",서울,구로구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,943093.000000000000000,1943401.000000000000000,126.856289000000004,37.488103049999999,초등학교,개봉초등학교,서울특별시 구로구 개봉로16길 30-11,,37.489523110000000,126.857974799999994,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","95"
"2019","2019012112",주,월,"1","0","0","0","0",서울,금천구,차대사람,횡단중,횡단중,보행자 보호의무 위반,기타,기타,화물차,보행자,945810.000000000000000,1941615.000000000000000,126.887152599999993,37.472168959999998,,,,,,,,,,,,,,,,
"2019","2019012213",주,화,"1","1","1","0","0",서울,강남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,959104.000000000000000,1945529.000000000000000,127.037274699999998,37.508131470000002,,,,,,,,,,,,,,,,
