연도,날짜,구,주야,사상자수,사고유형1,사고유형2,도로형태,가해차량,피해차량,시설종류,CCTV여부,보호구역폭,옐로카펫_설치유무,평균기온___,최저기온___,최고기온___,강수량_mm_,월별,분기별,평일주말
2012,20120206,양천구,0,1,2,1,1,0,1,0,1,6,0,0.9,-3.2,7,0.2,2,1,0
2012,20120224,중랑구,0,1,0,0,0,1,0,0,1,10,0,4.3,0.2,9.7,0,2,1,0
2012,20120302,양천구,1,1,0,0,0,0,0,0,1,6,0,6.9,5.2,9.5,0.3,3,1,1
2012,20120308,도봉구,0,1,2,1,1,2,1,0,0,6.75,0,2,-0.3,5.2,0,3,1,1
2012,20120402,종로구,1,1,0,0,0,2,0,1,0,12,0,8.3,3.5,14.1,22,4,2,0
2012,20120408,종로구,1,1,0,0,1,2,0,0,1,8,0,11.3,4.6,17.6,0,4,2,1
2012,20120422,양천구,1,1,2,1,0,1,1,0,1,8,0,9.4,7.9,12,9,4,2,1
2012,20120425,구로구,1,1,2,1,0,1,1,0,0,10,0,15.1,10.5,20.7,28,4,2,0
2012,20120430,중구,1,1,2,1,0,1,1,0,0,6,0,22.9,15.4,29.4,0,4,2,0
2012,20120513,양천구,1,1,1,1,1,2,0,0,1,5,0,19.1,14.8,25.2,0,5,2,0
2012,20120521,양천구,0,2,2,1,0,1,1,0,1,5,0,23,17.2,28.9,0,5,2,1
2012,20120521,중랑구,1,1,2,1,0,0,1,0,1,10,0,23,17.2,28.9,0,5,2,1
2012,20120524,노원구,0,1,0,0,1,1,0,0,1,20,0,19.7,17,24,0,5,2,0
2012,20120527,중구,1,1,0,1,1,1,0,0,1,20,0,19.3,17.1,23.4,0.3,5,2,1
2012,20120602,강동구,0,1,2,1,0,2,1,0,1,5.5,0,23.1,19.2,28.8,0,6,2,0
2012,20120605,양천구,0,1,2,1,1,0,1,0,1,6,0,22.5,19.8,27.5,0,6,2,1
2012,20120606,양천구,1,1,0,0,0,1,0,0,1,14,0,23,19.1,28.9,0,6,2,0
2012,20120608,양천구,1,1,0,0,0,1,0,0,1,5,0,22.2,19,27.9,2,6,2,0
2012,20120626,노원구,1,1,0,0,0,1,0,0,1,18.5,0,24.6,20.6,30.8,0,6,2,0
2012,20120627,강동구,0,1,0,0,0,1,0,0,1,6,0,24.8,19.3,31,0,6,2,1
2012,20120702,중구,1,1,0,0,0,1,0,0,1,8,0,24,21.7,29.8,0,7,3,0
2012,20120706,강동구,1,1,0,1,0,0,0,0,1,5.5,0,20.9,19.9,21.8,102.5,7,3,0
2012,20120715,강서구,0,1,0,1,1,1,0,0,1,12,0,19.7,19.1,20.5,32.5,7,3,0
2012,20120721,노원구,1,1,0,0,1,2,0,0,1,15.4,0,27.5,24.1,31.4,0,7,3,0
2012,20120802,중랑구,0,1,0,0,0,1,0,0,1,10,0,30.8,26.8,35.5,0,8,3,0
2012,20120810,노원구,1,2,0,1,0,2,0,0,1,6,0,27.4,25.7,29,0.3,8,3,0
2012,20120814,양천구,0,1,0,0,0,2,0,0,1,6,0,26.7,23.2,31.2,15.5,8,3,0
2012,20120816,성북구,1,1,0,0,0,1,0,0,1,10,0,26,22.7,28.9,0,8,3,0
2012,20120825,광진구,1,1,0,1,0,1,0,0,0,10,0,25,21.5,28.9,11.5,8,3,0
2012,20120828,성북구,0,1,0,0,0,2,0,0,1,10,0,26.1,21.8,29.4,13.5,8,3,0
2012,20120912,마포구,0,5,2,1,0,1,1,0,1,5.5,0,21.6,19.6,24.8,0.5,9,3,1
2012,20120921,동대문구,1,1,0,0,0,1,0,0,0,10,0,20.1,17.2,24.3,0,9,3,1
2012,20121016,성북구,1,1,0,0,1,1,0,0,1,10,0,17.1,10.8,23.4,0,10,4,0
2012,20121023,금천구,0,1,0,0,0,1,0,0,1,7,0,10,4.5,14.5,0,10,4,0
2012,20121024,중구,0,1,0,0,0,1,0,0,0,6,0,13.2,9.5,18.4,0,10,4,1
2012,20121103,노원구,0,1,0,0,0,2,0,0,1,7.5,0,9.4,3.2,15.7,0,11,4,0
2012,20121104,노원구,1,1,0,0,0,1,0,0,1,13.5,0,11.8,9.1,15.3,4,11,4,0
2012,20121106,성동구,1,1,0,1,1,1,0,0,0,6~20,0,7.1,5.1,8.6,5,11,4,1
2012,20121120,노원구,1,1,0,0,1,1,0,0,1,15.85,0,1.9,-1.8,6.4,0,11,4,0
2012,20121218,강서구,1,1,0,0,0,2,0,0,1,6,0,-6.8,-9.2,-4,0,12,4,0
2012,20121220,강동구,1,1,0,0,0,1,0,0,0,6,0,-3.4,-7.8,0.3,0,12,4,0
2012,20121229,노원구,1,2,0,0,1,2,0,0,1,7.5,0,-0.3,-1.9,0.6,4.1,12,4,1
2013,20130119,성북구,1,1,0,0,0,2,0,0,1,10,0,0.5,-2.5,4.6,0,1,1,1
2013,20130122,노원구,1,1,0,0,0,1,0,0,1,34,0,3.8,2,6,0.5,1,1,0
2013,20130130,성북구,0,1,0,0,0,2,0,0,1,8,0,5.4,3.5,8.5,0,1,1,0
2013,20130207,성동구,1,1,0,1,0,1,0,0,1,8.5,0,-11.1,-13.8,-2.6,0,2,1,0
2013,20130219,금천구,0,1,0,0,1,1,0,0,1,8,0,-2.9,-7.1,0.6,0,2,1,0
2013,20130317,서대문구,0,1,0,1,0,2,0,0,0,10.5,0,8.2,3.4,15.9,7.5,3,1,1
2013,20130326,노원구,0,1,0,0,0,1,0,0,1,12.5,0,4.4,-0.9,10.4,0,3,1,0
2013,20130328,성북구,0,1,0,0,0,1,0,0,1,14,0,7.3,4.4,12,0,3,1,0
