field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도,경도,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도로_2,소재지지번_2,위도_2,경도_2,관리기관명_2,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준_2,제공기관코_2,제공기관명_2,옐로카펫_,보호구역_
40748,서울특별시_서초구,서울특별시 서초구 남부순환로287길 7,서울특별시 서초구 방배3동 479-11,생활방범,1,200.0,120도,30.0,201908,02-2155-6098,37.47608908,126.9872183,2019/05/29,3210000,서울특별시 서초구,초등학교,방현초등학교,서울특별시 서초구 효령로4길 58,서울특별시 서초구 방배3동 산81-1,37.4763718,126.9901376,서울시 서초구,방배경찰서,Y,1.0,4,2019/06/03,3210000,서울특별시 서초구,0,96
14217,서울특별시 양천구청,서울특별시 양천구 남부순환로 698,서울특별시 양천구 신정동 739-13 공원안쪽,생활방범,1,200.0,120도,30.0,201512,02-2620-4793,37.506923,126.843573,2019/11/20,3140000,서울특별시 양천구,유치원,매봉초병설유치원,서울특별시 구로구 고척로21길 55,,37.50491677,126.84437500000001,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,95
14218,서울특별시 양천구청,서울특별시 양천구 남부순환로 698,서울특별시 양천구 신정동 739-13,생활방범,1,200.0,120도,30.0,201412,02-2620-4793,37.506923,126.843572,2019/11/20,3140000,서울특별시 양천구,유치원,매봉초병설유치원,서울특별시 구로구 고척로21길 55,,37.50491677,126.84437500000001,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,95
14278,서울특별시 양천구청,서울특별시 양천구 남부순환로 700,서울특별시 양천구 신정동 739-15,생활방범,2,200.0,120도,30.0,201512,02-2620-4793,37.5067,126.843668,2019/11/20,3140000,서울특별시 양천구,유치원,매봉초병설유치원,서울특별시 구로구 고척로21길 55,,37.50491677,126.84437500000001,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,95
29702,서울특별시 종로구청,서울특별시 종로구 혜화로3길 20,"서울특별시 종로구 명륜1가 49, 건물 앞 전신주",생활방범,2,200.0,360도전방면,30.0,201806,02-2148-4301,37.5863834,126.9992502,2019/09/18,3000000,서울특별시 종로구,초등학교,혜화초등학교,서울특별시 종로구 혜화로 32,서울특별시 종로구 명륜동1가 1-27,37.5888137,127.0000249,종로구청,혜화경찰서,Y,2.0,15,2019/01/14,3000000,서울특별시 종로구,2017-04-14,97
29723,서울특별시 종로구청,서울특별시 종로구 필운대로10길 16,서울특별시 종로구 신교동 6-13,생활방범,4,200.0,360도전방면,30.0,201802,02-2148-4301,37.583518700000006,126.96792970000001,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.9691707,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
29729,서울특별시 종로구청,서울특별시 종로구 자하문로33길 2,"서울특별시 종로구 청운동 59-1, 큰도로쪽",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.5861563,126.9697151,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.9691707,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
29730,서울특별시 종로구청,서울특별시 종로구 자하문로33가길 27,"서울특별시 종로구 청운동 53-76, 건물근처",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.58743920000001,126.96825259999999,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.9691707,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
29731,서울특별시 종로구청,서울특별시 종로구 자하문로33가길 6,서울특별시 종로구 청운동 52-6,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5865421,126.968496,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.9691707,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
29732,서울특별시 종로구청,서울특별시 종로구 자하문로33다길 28,서울특별시 종로구 청운동 52-50,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5874034,126.9669442,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.9691707,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
