,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
160,강원도 동해시청,강원도 동해시,강원도 동해시 효가동 361-35,쓰레기단속,1,200.0,양지마을 훼미리가구뒤 쓰레기투기,30.0,201712,033-530-2912,37.50360901,129.10854009999997,2020-06-17,4210000,강원도 동해시
161,강원도 동해시청,강원도 동해시 양지1길 2-2,강원도 동해시 효가동 362-124,생활방범,1,800.0,양지마을 경로당 (어안),30.0,201906,033-530-2912,37.50373101,129.107912,2020-06-17,4210000,강원도 동해시
162,강원도 동해시청,강원도 동해시,강원도 동해시 효가동 459-3,생활방범,4,200.0,북삼자율방범대앞 삼거리 (북고방향) [4010],30.0,201805,033-530-2912,37.49452993,129.1077897,2020-06-17,4210000,강원도 동해시
163,강원도 동해시청,강원도 동해시 효가리본길 7,강원도 동해시 효가동 467-4,생활방범,1,200.0,효가경로당 앞,30.0,201812,033-530-2912,37.49377101,129.107025,2020-06-17,4210000,강원도 동해시
164,강원도 동해시청,강원도 동해시,강원도 동해시 효가동 471,생활방범,3,130.0,더프라임진입로 (7번국도방향),30.0,201309,033-530-2912,37.49708023,129.1085122,2020-06-17,4210000,강원도 동해시
165,강원도 동해시청,강원도 동해시,강원도 동해시 효가동 472,생활방범,1,130.0,심씨열녀각,30.0,201501,033-530-2912,37.49728684,129.1063403,2020-06-17,4210000,강원도 동해시
166,강원도 동해시청,강원도 동해시,강원도 동해시 효가동 473-92,생활방범,2,1200.0,효가공원 (어안) [4043],30.0,201912,033-530-2912,37.49467589,129.1057031,2020-06-17,4210000,강원도 동해시
167,강원도 동해시청,강원도 동해시,강원도 동해시 효가동 산16-1,생활방범,3,200.0,양지마을입구 (7번국도 회전),30.0,201708,033-530-2912,37.50381001,129.1069601,2020-06-17,4210000,강원도 동해시
169,서수원칠보체육관(수원도시공사),경기도수원시권선구서수원로577번길171(금곡동),경기도수원시권선구금곡동1071(서수원칠보체육관),다목적,59,3000000.0,"서수원칠보제육관내,외",30.0,201602,031-259-5414,37.27628877,126.9483135,2020-06-10,B553891,수원도시공사
1128,서울특별시 중랑구청,서울특별시 중랑구 겸재로10길 5,서울특별시 중랑구 면목5동 172-30,생활방범,3,200.0,0,30.0,201408,02-2094-0284,37.58382386,127.0783195,2020-05-06,3060000,서울특별시 중랑구
1167,서울특별시 중랑구청,서울특별시 중랑구 동일로95길 62,서울특별시 중랑구 면목5동 194-59,생활방범,1,200.0,0,30.0,201408,02-2094-0284,37.58454251,127.0760875,2020-05-06,3060000,서울특별시 중랑구
1207,서울특별시 중랑구청,서울특별시 중랑구 동일로91길 6-18,서울특별시 중랑구 면목5동 172-103,생활방범,1,200.0,0,30.0,201302,02-2094-0284,37.58372902,127.079254,2020-05-06,3060000,서울특별시 중랑구
1318,서울특별시 중랑구청,서울특별시 중랑구 동일로96가길 14,서울특별시 중랑구 면목5동 160-11,생활방범,1,200.0,0,30.0,201408,02-2094-0284,37.58419037,127.081337,2020-05-06,3060000,서울특별시 중랑구
1515,인천광역시 중구청,인천광역시 중구 영종대로27번길 9,인천광역시 중구 운서동 2747-5,생활방범,3,200.0,360도전방면,30.0,201807,032-760-7102,37.4964387135,126.48058780299999,2020-07-02,3490000,인천광역시 중구
1516,인천광역시 중구청,인천광역시 중구 자유공원로 106-8,인천광역시 중구 송학동1가 11-1,생활방범,1,200.0,360도전방면,30.0,201801,032-760-7102,37.478877671199996,126.6246307765,2020-07-02,3490000,인천광역시 중구
1517,인천광역시 중구청,인천광역시 중구 자유공원로 106-8,인천광역시 중구 송학동1가 11-1,생활방범,1,200.0,360도전방면,30.0,201801,032-760-7102,37.478877671199996,126.6246307765,2020-07-02,3490000,인천광역시 중구
1518,인천광역시 중구청,인천광역시 중구 참외전로 151,인천광역시 중구 인현동 1-400,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.473799632600006,126.6338267506,2020-07-02,3490000,인천광역시 중구
1519,인천광역시 중구청,인천광역시 중구 백운로 107번길 24-7,인천광역시 중구 운남동 1-14,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.5005038896,126.5433694457,2020-07-02,3490000,인천광역시 중구
1522,인천광역시 중구청,인천광역시 중구 백운로 110-16,인천광역시 중구 중산동1225-13,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.5023858749,126.5444843834,2020-07-02,3490000,인천광역시 중구
1523,인천광역시 중구청,인천광역시 중구 논골1길 9,인천광역시 중구 운북동28-1,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.5105932536,126.5391909788,2020-07-02,3490000,인천광역시 중구
1525,인천광역시 중구청,인천광역시 중구 제물량로 271,인천광역시 중구 북성동1가 3-61,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4761721662,126.61711497520001,2020-07-02,3490000,인천광역시 중구
1529,인천광역시 중구청,인천광역시 중구 백운로 96-12,인천광역시 중구 중산동 1392-22,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.5013992188,126.54657577190001,2020-07-02,3490000,인천광역시 중구
1530,인천광역시 중구청,인천광역시 중구 개항로53번길 45-2,인천광역시 중구 내동49-1,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4743945552,126.6281396733,2020-07-02,3490000,인천광역시 중구
1531,인천광역시 중구청,인천광역시 중구 율목로 8번길 8-20,인천광역시 중구 율목동 248-7,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.469086666399996,126.63534642260001,2020-07-02,3490000,인천광역시 중구
1532,인천광역시 중구청,인천광역시 중구 율목로 24,인천광역시 중구 율목동 245-29,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4691702866,126.6332524683,2020-07-02,3490000,인천광역시 중구
1533,인천광역시 중구청,인천광역시 중구 자유공원로 28-7,인천광역시 중구 전동 19-3,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4757096176,126.62801106100001,2020-07-02,3490000,인천광역시 중구
1534,인천광역시 중구청,인천광역시 중구 도원로30번길 12,인천광역시 중구 도원동 30-13,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4668775948,126.6377535819,2020-07-02,3490000,인천광역시 중구
1537,인천광역시 중구청,인천광역시 중구 운남로223번길 4,인천광역시 중구 운남동 476-14,생활방범,3,200.0,360도전방면,30.0,201812,032-760-7102,37.4972987479,126.5356675468,2020-07-02,3490000,인천광역시 중구
