발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도_2,경도_2,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도_1,소재지지_1,위도_2_2,경도_2_2,관리기관_1,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기_1,제공기관_1,제공기관_2,옐로카펫_,보호구역_,옐로카펫_설치유무,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
2019,20190927,야,금,1,0,0,0,0,서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,954663.0,1941944.9999999998,126.9872489,37.47562022,40748,서울특별시_서초구,서울특별시 서초구 남부순환로287길 7,서울특별시 서초구 방배3동 479-11,생활방범,1,200.0,120도,30.0,201908,02-2155-6098,37.47608908,126.9872183,2019/05/29,3210000,서울특별시 서초구,초등학교,방현초등학교,서울특별시 서초구 효령로4길 58,서울특별시 서초구 방배3동 산81-1,37.4763718,126.9901376,서울시 서초구,방배경찰서,Y,1.0,4,2019/06/03,3210000,서울특별시 서초구,0,96,0,22.9,19.6,27.0,
2019,20190224,주,일,1,0,0,0,0,서울,구로구,차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,승용차,없음,941822.0,1945176.0,126.8417724,37.50402205,14217,서울특별시 양천구청,서울특별시 양천구 남부순환로 698,서울특별시 양천구 신정동 739-13 공원안쪽,생활방범,1,200.0,120도,30.0,201512,02-2620-4793,37.506923,126.843573,2019/11/20,3140000,서울특별시 양천구,유치원,매봉초병설유치원,서울특별시 구로구 고척로21길 55,,37.50491677,126.84437500000001,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,95,0,6.3,1.2,13.7,
2019,20190123,야,수,1,0,0,0,0,서울,종로구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,955745.0,1954622.0,126.9987214,37.58993392,29702,서울특별시 종로구청,서울특별시 종로구 혜화로3길 20,"서울특별시 종로구 명륜1가 49, 건물 앞 전신주",생활방범,2,200.0,360도전방면,30.0,201806,02-2148-4301,37.5863834,126.9992502,2019/09/18,3000000,서울특별시 종로구,초등학교,혜화초등학교,서울특별시 종로구 혜화로 32,서울특별시 종로구 명륜동1가 1-27,37.5888137,127.0000249,종로구청,혜화경찰서,Y,2.0,15,2019/01/14,3000000,서울특별시 종로구,2017-04-14,97,1,2.0,-0.8,7.0,
2019,20190507,주,화,1,0,0,0,0,서울,종로구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,자전거,화물차,953021.0,1952966.0,126.967974,37.57487308,29706,서울특별시 종로구청,서울특별시 종로구 필운대로1길 7-6,서울특별시 종로구 필운동 32-2,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5771595,126.968682,2019/09/18,3000000,서울특별시 종로구,유치원,세종유치원,서울특별시 종로구 사직로8길 9,서울특별시 종로구 필운동 278-4,37.575477,126.969952,종로구청,종로경찰서,Y,1.0,25,2019/01/14,3000000,서울특별시 종로구,0,9,0,15.0,8.4,21.9,
2019,20191207,야,토,1,0,0,0,0,서울,노원구,차대차,추돌,추돌,신호위반,교차로,교차로내,승용차,이륜차,962122.0,1960732.0,127.0706354,37.64528944,14787,서울특별시 노원구청,서울특별시 노원구 노원로16길82 서라벌고후문,서울특별시 노원구 하계1동 256-27 (서라벌고등학교 후문) (근린공원 삼거리),생활방범,1,200.0,회전,30.0,200811,02-2116-4917,37.6445852,127.0749685,2019/04/08,3100000,서울특별시 노원구,특수학교,동천학교,서울특별시 노원구 노원로18길 41,서울특별시 노원구 하계1동 288-1,37.64451398,127.07292530000002,노원구청,노원경찰서,Y,2.0,20,2020/07/14,3100000,서울특별시 노원구,0,97,0,-2.4,-5.5,1.2,0.1
2019,20190103,주,목,1,1,0,1,0,서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962122.0,1962574.0,127.0705398,37.66189171,14603,서울특별시 노원구청,서울특별시 노원구 한글비석로44길23-8,서울특별시 노원구 상계동 149-6,생활방범,1,200.0,회전,30.0,201603,02-2116-4917,37.66388784,127.0693187,2019/04/08,3100000,서울특별시 노원구,초등학교,계상초교,서울특별시 노원구 한글비석로41가길 24,서울특별시 노원구 상계5동 447-1,37.66219741,127.0686766,노원구청,노원경찰서,Y,2.0,8~19,2020/07/14,3100000,서울특별시 노원구,0,2,0,-3.5,-8.4,3.2,
2019,20190407,야,일,1,0,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,신호위반,단일로,기타단일로,승합차,이륜차,940154.0,1949090.0,126.8225829,37.53919228,12972,서울특별시 양천구청,서울특별시 양천구 남부순환로30길 3,서울특별시 양천구 신월동 44-1,어린이보호,3,200.0,360도 전방,30.0,201012,02-2620-4793,37.538649,126.825624,2019/11/20,3140000,서울특별시 양천구,초등학교,양원초교,서울특별시 양천구 화곡로 16,서울특별시 양천구 신월3동 40-1,37.5382167,126.8231056,서울특별시 양천구청,양천경찰서,Y,5.0,6,2020/06/01,3140000,서울특별시 양천구,0,96,0,12.6,5.6,20.3,
2019,20190504,야,토,1,2,0,2,0,서울,양천구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,화물차,941066.0,1946411.0000000002,126.8331205,37.51510519,12980,서울특별시 양천구청,서울특별시 양천구 신월로 97,서울특별시 양천구 신월동 987-3,어린이보호,4,200.0,360도 전방,30.0,201012,02-2620-4793,37.51596,126.834162,2019/11/20,3140000,서울특별시 양천구,초등학교,강월초교,서울특별시 양천구 신월로 97,서울특별시 양천구 신월7동 987-3,37.516341,126.8334325,서울특별시 양천구청,양천경찰서,Y,5.0,8,2020/06/01,3140000,서울특별시 양천구,0,97,0,19.5,12.0,27.4,
2019,20190614,야,금,1,0,0,0,0,서울,구로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,943267.0,1945810.0,126.8580713,37.50982631,14089,서울특별시 양천구청,서울특별시 양천구 목동동로2길 68,서울특별시 양천구 신정동 봉영여중 정문 건너편,생활방범,3,200.0,360도 전방,30.0,201012,02-2620-4793,37.509082,126.860747,2019/11/20,3140000,서울특별시 양천구,초등학교,계남초교,서울특별시 양천구 목동동로2길 54,서울특별시 양천구 신정7동 325-7,37.51016938,126.8600168,서울특별시 양천구청,양천경찰서,Y,5.0,7,2020/06/01,3140000,서울특별시 양천구,0,97,0,23.0,19.1,28.4,
2019,20190808,주,목,1,0,0,0,0,서울,양천구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,944496.0,1946466.0,126.87192700000001,37.51581366,12998,서울특별시 양천구청,서울특별시 양천구 목동동로8길 33,"서울특별시 양천구 신정동 282-58, 어린이집 앞",어린이보호,3,200.0,360도 전방,30.0,201012,02-2620-4793,37.515956,126.87185400000001,2019/11/20,3140000,서울특별시 양천구,초등학교,신목초교,서울특별시 양천구 신목로5길 11-6,서울특별시 양천구 신정2동 281-1,37.51660963,126.87268460000001,서울특별시 양천구청,양천경찰서,Y,6.0,6,2020/06/01,3140000,서울특별시 양천구,0,97,0,28.9,25.9,32.7,0.0
