field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도,경도,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도로_2,소재지지번_2,위도_2,경도_2,관리기관명_2,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준_2,제공기관코_2,제공기관명_2,옐로카펫_,보호구역_
40748,서울특별시_서초구,서울특별시 서초구 남부순환로287길 7,서울특별시 서초구 방배3동 479-11,생활방범,1,200.0,120도,30.0,201908,02-2155-6098,37.47608908,126.9872183,2019/05/29,3210000,서울특별시 서초구,초등학교,방현초등학교,서울특별시 서초구 효령로4길 58,서울특별시 서초구 방배3동 산81-1,37.4763718,126.9901376,서울시 서초구,방배경찰서,Y,1.0,4,2019/06/03,3210000,서울특별시 서초구,0,96
14217,서울특별시 양천구청,서울특별시 양천구 남부순환로 698,서울특별시 양천구 신정동 739-13 공원안쪽,생활방범,1,200.0,120도,30.0,201512,02-2620-4793,37.506923,126.84357299999999,2019/11/20,3140000,서울특별시 양천구,유치원,매봉초병설유치원,서울특별시 구로구 고척로21길 55,,37.50491677,126.844375,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,3160000,서울특별시 구로구,0,95
29702,서울특별시 종로구청,서울특별시 종로구 혜화로3길 20,"서울특별시 종로구 명륜1가 49, 건물 앞 전신주",생활방범,2,200.0,360도전방면,30.0,201806,02-2148-4301,37.586383399999995,126.9992502,2019/09/18,3000000,서울특별시 종로구,초등학교,혜화초등학교,서울특별시 종로구 혜화로 32,서울특별시 종로구 명륜동1가 1-27,37.5888137,127.00002490000001,종로구청,혜화경찰서,Y,2.0,15,2019/01/14,3000000,서울특별시 종로구,2017-04-14,97
29723,서울특별시 종로구청,서울특별시 종로구 필운대로10길 16,서울특별시 종로구 신교동 6-13,생활방범,4,200.0,360도전방면,30.0,201802,02-2148-4301,37.583518700000006,126.9679297,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.96917069999999,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
30896,서울특별시 종로구청,서울특별시 종로구 평창30길 31,"서울특별시 종로구 평창동 462-2, 건물 옆",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.6126567,126.9749041,2019/09/18,3000000,서울특별시 종로구,유치원,하나유치원,서울특별시 종로구 평창길317,서울특별시 종로구 평창동 439-5,37.614309000000006,126.97743799999999,종로구청,종로경찰서,Y,2.0,8,2019/01/14,3000000,서울특별시 종로구,0,8
30861,서울특별시 종로구청,서울특별시 종로구 비봉길 48,"서울특별시 종로구 구기동 139-11, 전주 풍남학사 앞",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.6129415,126.9562125,2019/09/18,3000000,서울특별시 종로구,국제학교,하비에르국제학교,서울특별시 종로구 비봉길23,서울특별시 종로구 구기동 151,37.6108309,126.9560699,종로구청,혜화경찰서,Y,2.0,12,2019/01/14,3000000,서울특별시 종로구,2016-05-02,97
20811,서울특별시 성북구청,서울특별시 성북구 보문로15길 43,서울특별시 성북구 보문동6가 156-3,생활방범,3,200.0,360,30.0,200612,02-2241-4562,37.58018382,127.0192548,2020/03/31,3070000,서울특별시 성북구,유치원,청룡유치원,서울특별시 종로구 동망산길 62,서울특별시 종로구 숭인동 48-2,37.579374,127.01665200000001,종로구청,혜화경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,95
29724,서울특별시 종로구청,서울특별시 종로구 필운대로9길 5,서울특별시 종로구 옥인동 48,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.582116600000006,126.9673037,2019/09/18,3000000,서울특별시 종로구,유치원,옥인유치원,서울특별시 종로구 자하문로69,서울특별시 종로구 옥인동 18,37.582135,126.97031100000001,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,7
29872,서울특별시 종로구청,서울특별시 종로구 자하문로 303,"서울특별시 종로구 홍지동 126-1, 주유소 뒷골목",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5991115,126.95915420000001,2019/09/18,3000000,서울특별시 종로구,어린이집,엔젤키즈어린이집,서울특별시 종로구 자하문로43길 4-13,서울특별시 종로구 부암동 384-7,37.5985179,126.960504,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,16
29689,서울특별시 종로구청,서울특별시 종로구 세검정로7나길 14,서울특별시 종로구 신영동 214-43,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.6035833,126.96007379999999,2019/09/18,3000000,서울특별시 종로구,초등학교,세검정초등학교,서울특별시 종로구 세검정로9길1,서울특별시 종로구 신영동 219-4,37.6033878,126.9608999,종로구청,종로경찰서,Y,3.0,4~8,2019/01/14,3000000,서울특별시 종로구,2017-04-14,10
