발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),옐로카펫_설치유무,Unnamed: 0,법규위반_
2012,20120118,야간,일,1,1,0,0,0,서울,은평구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,949859.0,1957198.0,126.9318767,37.61284962,초등학교,불광초등,서울특별시 은평구 불광로 51,서울특별시 은평구 불광로 51,37.61342855,126.93072040000001,서울특별시 은평구,은평경찰서,Y,6.0,6,2019/07/31,3110000,서울특별시 은평구,0,95,1.4,-2.2,5.4,,0,,
2012,20120120,야간,일,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,자전거,중형,960300.0,1944678.0,127.05085270000001,37.50051332,초등학교,도성초등학교,서울특별시 강남구 역삼로 313,,37.50146282,127.0488738,서울특별시 강남구청,수서경찰서,Y,2.0,23.1,2020/06/24,3220000,서울특별시 강남구,20160527,95,5.4,3.7,8.3,0.5,0,,
2012,20120123,야간,금,1,2,1,0,0,서울,송파구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,중형,968157.0,1944038.0,127.139769,37.49504921,초등학교,개롱초등학교,서울특별시 송파구 문정로 211,서울특별시 송파구 오금동 159,37.497352,127.1398426,서울특별시 송파구청,송파경찰서,Y,3.0,8~20,2020/02/20,3230000,서울특별시 송파구,0,8,-9.6,-12.2,-5.3,,0,,
2012,20120123,야간,금,1,2,1,0,0,서울,송파구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,중형,968157.0,1944038.0,127.139769,37.49504921,어린이집,거여어린이집,서울특별시 송파구 오금로 475,서울특별시 송파구 거여1동 20-7,37.49453270000001,127.142155,서울특별시 송파구청,송파경찰서,Y,1.0,7~9,2020/02/20,3230000,서울특별시 송파구,0,10,-9.6,-12.2,-5.3,,0,,
2012,20120125,야간,목,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,과속,단일로,횡단보도상,중형,보행자,950801.0,1942695.0,126.9435222,37.48218256,초등학교,관악초등학교,서울특별시 관악구 청룡4길 49,,37.48102412,126.94255600000001,서울특별시 관악구청,서울관악경찰서,Y,4.0,6~20,2020/05/31,3200000,서울특별시 관악구,0,95,-8.2,-11.6,-5.0,,0,,
2012,20120125,야간,목,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,과속,단일로,횡단보도상,중형,보행자,950801.0,1942695.0,126.9435222,37.48218256,유치원,관악병설유치원,서울특별시 관악구 청룡4길 49,,37.48102412,126.94255600000001,서울특별시 관악구청,서울관악경찰서,Y,1.0,6~20,2020/05/31,3200000,서울특별시 관악구,0,95,-8.2,-11.6,-5.0,,0,,
2012,20120202,주간,일,1,1,0,0,0,서울,강북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,중형,0,959111.0,1957112.0,127.03670790000001,37.6125326,유치원,동명유치원,서울특별시 강북구 오패산로 130,서울특별시 강북구 미아동 53-1,37.61353041,127.0342548,강북구청,강북경찰서,Y,2.0,15,2019/05/10,3080000,서울특별시 강북구,0,2,-13.7,-17.1,-9.5,,0,,
2012,20120206,주간,수,1,1,0,0,0,서울,양천구,차대차,측면직각충돌,측면직각충돌,중앙선 침범,교차로,교차로부근,자전거,대형,944960.0,1947393.0,126.8771078,37.52419662,유치원,등대유치원,서울특별시 양천구 목동동로12길 60,서울특별시 양천구 신정2동 1279,37.52213281,126.87779099999999,서울특별시 양천구청,양천경찰서,Y,3.0,6,2020/06/01,3140000,서울특별시 양천구,0,98,0.9,-3.2,7.0,0.2,0,,
2012,20120214,야간,금,1,1,0,0,0,서울,서대문구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,951158.0,1954248.0,126.9467913,37.58633094,유치원,인왕유치원,서울특별시 서대문구 통일로32길 23,서울특별시 서대문구 홍제2동 105-88,37.586141999999995,126.949475,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1.0,4,2019/03/04,3120000,서울특별시 서대문구,0,95,3.0,-0.3,8.3,,0,,
2012,20120221,야간,금,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,948184.0,1939149.0,126.91417279999999,37.45007848,초등학교,동광초등학교,서울특별시 금천구 탑골로 10길 45,서울특별시 금천구 시흥동 산 100-4,37.451671999999995,126.91688700000002,서울특별시 금천구청,금천경찰서,Y,1.0,6~14,2020/02/20,3170000,서울특별시 금천구,0,3,2.3,-0.9,5.5,,0,,
