,연번,시도,지자체,설치위치(학교),설치일자,재원,구분,사업주체기관,유지보수일자,비고,학교이름,주소
0,1,서울특별시,성북구,길원초등학교(A),2015-03-30,삼성카드 열린나눔,국제아동인권센터,국제아동인권센터,,,길원초등학교,서울 성북구 길음로15길 55
1,2,서울특별시,성북구,길원초등학교(B),2015-03-31,삼성카드 열린나눔,국제아동인권센터,국제아동인권센터,,,길원초등학교,서울 성북구 길음로15길 55
2,7,서울특별시,성북구,개운초등학교,2015-09-08,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,개운초등학교,서울 성북구 정릉로48길 52
3,8,서울특별시,중구,광희초등학교(A),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,광희초등학교,서울 중구 다산로 269
4,9,서울특별시,중구,광희초등학교(B),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,광희초등학교,서울 중구 다산로 269
5,10,서울특별시,중구,남산초등학교,2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,남산초등학교,서울 중구 퇴계로22길 17
6,11,서울특별시,중구,덕수초등학교(A),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",덕수초등학교,서울 중구 덕수궁길 140
7,12,서울특별시,중구,덕수초등학교(B),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,덕수초등학교,서울 중구 덕수궁길 140
8,13,서울특별시,중구,봉래초등학교,2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,봉래초등학교,서울 중구 손기정로 73
9,14,서울특별시,중구,신당초등학교(A),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",신당초등학교,서울 중구 난계로 141
10,15,서울특별시,중구,신당초등학교(B),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",신당초등학교,서울 중구 난계로 141
11,16,서울특별시,중구,신당초등학교(C),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,신당초등학교,서울 중구 난계로 141
12,17,서울특별시,중구,장충초등학교,2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,장충초등학교,서울 중구 청구로17길 40
13,18,서울특별시,중구,청구초등학교(A),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",청구초등학교,서울 중구 다산로 170
14,19,서울특별시,중구,충무초등학교,2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,,,충무초등학교,서울 중구 퇴계로50길 13
15,20,서울특별시,중구,흥인초등학교(A),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",흥인초등학교,서울 중구 청구로6길 11
16,21,서울특별시,중구,흥인초등학교(B),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",흥인초등학교,서울 중구 청구로6길 11
17,22,서울특별시,중구,청구초등학교(B),2015-09-14,바보의나눔 지정기탁사업,국제아동인권센터,국제아동인권센터,2018-11-06,"DB손해보험, 서울남부지역본부",청구초등학교,서울 중구 다산로 170
18,49,서울특별시,종로구,하비에르 국제학교,2016-05-02,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,하비에르,서울 종로구 비봉길 23
19,52,서울특별시,은평구,은명초등학교,2016-05-18,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,은명초등학교,서울 은평구 은평로4길 21-9
20,53,서울특별시,마포구,중동초등학교,2016-05-18,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,중동초등학교,서울 마포구 월드컵북로 152
21,54,서울특별시,영등포구,영원초등학교,2016-05-18,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,영원초등학교,서울 영등포구 도영로22길 31
22,55,서울특별시,송파구,문정초등학교,2016-05-18,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,문정초등학교,서울 송파구 문정로5길 20
23,56,서울특별시,동작구,삼일초등학교,2016-05-19,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,삼일초등학교,서울 동작구 사당로23나길 27
24,57,서울특별시,동작구,남성초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,남성초등학교,서울 동작구 사당로23길 57-14
25,58,서울특별시,동작구,영본초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,영본초등학교,서울 동작구 만양로12가길 69
26,59,서울특별시,동작구,본동초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,본동초등학교,서울 동작구 노량진로26길 16-40
27,60,서울특별시,동작구,신길초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,신길초등학교,서울 동작구 알마타길 16
28,61,서울특별시,동작구,동작초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,동작초등학교,서울 동작구 동작대로29길 214
29,62,서울특별시,동작구,신남성초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,신남성초등학교,서울 동작구 사당로 146
30,63,서울특별시,동작구,보라매초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,보라매초등학교,서울 동작구 여의대방로16길 30
31,64,서울특별시,동작구,행림초등학교,2016-05-23,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,행림초등학교,서울 동작구 솔밭로 47
