시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,옐로카펫_설치일자,보호구역_지정년도
유치원,사랑,서울특별시 도봉구 마들로 620,,37.66543008,127.0466689,도봉구청,도봉경찰서,Y,1,25,2019-09-05,3090000,서울특별시 도봉구,0,8
초등학교,매헌초등학교,서울특별시 서초구 언남길 8,서울특별시 서초구 양재2동 311-1,37.4710476,127.0420771,서울시 서초구,서초경찰서,Y,1,3,2019-06-03,3210000,서울특별시 서초구,2017-06-14,8
초등학교,방현초등학교,서울특별시 서초구 효령로4길 58,서울특별시 서초구 방배3동 산81-1,37.4763718,126.9901376,서울시 서초구,방배경찰서,Y,1,4,2019-06-03,3210000,서울특별시 서초구,0,96
초등학교,우솔초등학교,서울특별시 서초구 양재대로2길 74,서울특별시 서초구 우면동 774,37.45652907,127.0189383,서울시 서초구,서초경찰서,Y,1,2,2019-06-03,3210000,서울특별시 서초구,0,14
초등학교,반원초등학교,서울특별시 서초구 잠원로3길 40,서울특별시 서초구 잠원동 72-3,37.5081687,127.0036319,서울시 서초구,서초경찰서,Y,1,4,2019-06-03,3210000,서울특별시 서초구,0,95
초등학교,양재초등학교,서울특별시 서초구 바우뫼로18길 14,서울특별시 서초구 양재1동 101,37.473765,127.0316178,서울시 서초구,서초경찰서,Y,1,2,2019-06-03,3210000,서울특별시 서초구,2016-05-27,96
초등학교,언남초등학교,서울특별시 서초구 헌릉로8길 42,서울특별시 서초구 내곡동 122,37.4539774,127.0613427,서울시 서초구,서초경찰서,Y,1,2,2019-06-03,3210000,서울특별시 서초구,0,14
초등학교,우면초등학교,서울특별시 서초구 태봉로 59,서울특별시 서초구 우면동 690,37.46470939,127.0237457,서울시 서초구,서초경찰서,Y,1,1,2019-06-03,3210000,서울특별시 서초구,0,13
초등학교,서이초등학교,서울특별시 서초구 서운로 35,서울특별시 서초구 서초2동 1334-2,37.4913032,127.0259307,서울시 서초구,서초경찰서,Y,1,1,2019-06-03,3210000,서울특별시 서초구,2017-06-14,96
유치원,구룡유치원,서울특별시 서초구 논현로5길 31-11,서울특별시 서초구 양재2동 399-1,37.4711033,127.0489979,서울시 서초구,서초경찰서,Y,1,1,2019-06-03,3210000,서울특별시 서초구,0,99
