,일자,군구,유동인구수
0,20190301,양천구,7639480
1,20190301,종로구,5084920
2,20190301,중랑구,7023450
3,20190301,강동구,7684500
4,20190301,성동구,5589980
5,20190301,송파구,11962490
6,20190301,영등포구,8329320
7,20190301,노원구,9362880
8,20190301,금천구,4728950
9,20190301,도봉구,5656280
10,20190301,서대문구,5791790
11,20190301,구로구,7923140
12,20190301,동대문구,6719710
13,20190301,중구,4611300
14,20190301,관악구,9394200
15,20190301,강북구,5692690
16,20190301,성북구,7682030
17,20190301,광진구,6812180
18,20190301,마포구,7797100
19,20190301,서초구,8682410
20,20190301,은평구,7969440
21,20190301,강서구,10313260
22,20190301,용산구,5003220
23,20190301,강남구,11667480
24,20190301,동작구,7245540
25,20190302,양천구,7682230
26,20190302,종로구,4678190
27,20190302,중랑구,7044460
28,20190302,강동구,7704710
29,20190302,성동구,5520660
30,20190302,송파구,11859210
31,20190302,영등포구,8260700
32,20190302,노원구,9447610
33,20190302,금천구,4684990
34,20190302,도봉구,5680750
35,20190302,서대문구,5783940
36,20190302,구로구,7955770
37,20190302,동대문구,6780110
38,20190302,중구,4260160
39,20190302,관악구,9331430
40,20190302,강북구,5723840
41,20190302,성북구,7682710
42,20190302,광진구,6839320
43,20190302,마포구,7783730
44,20190302,서초구,8798350
45,20190302,은평구,7983710
46,20190302,강서구,10251310
47,20190302,용산구,4909510
48,20190302,강남구,11830850
49,20190302,동작구,7242930
50,20190303,양천구,7719250
51,20190303,종로구,3904500
52,20190303,중랑구,7027270
53,20190303,강동구,7627910
54,20190303,성동구,5345750
55,20190303,송파구,11444330
56,20190303,영등포구,8054790
57,20190303,노원구,9509500
58,20190303,금천구,4573340
59,20190303,도봉구,5774180
60,20190303,서대문구,5622390
61,20190303,구로구,7948820
62,20190303,동대문구,6625780
63,20190303,중구,3400360
64,20190303,관악구,9378160
65,20190303,강북구,5725120
66,20190303,성북구,7691920
67,20190303,광진구,6681330
68,20190303,마포구,7317610
69,20190303,서초구,8189960
70,20190303,은평구,7998780
71,20190303,강서구,10110050
72,20190303,용산구,4647840
73,20190303,강남구,10694460
74,20190303,동작구,7112830
75,20190304,양천구,7449900
76,20190304,종로구,5861050
